league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_next_1_years
1 Bundesliga,Bayer 04 Leverkusen,2009,4,15,14,5,65,38,27,1.74,0,0,2,20,8,6,64,44,20,2.0,0
1 Bundesliga,Bayern Munich,2009,1,20,10,4,72,31,41,2.06,0,0,3,19,8,7,81,40,41,1.91,0
1 Bundesliga,Borussia Dortmund,2009,5,16,9,9,54,42,12,1.68,0,0,1,23,6,5,67,22,45,2.21,0
1 Bundesliga,FC Schalke 04,2009,2,19,8,7,53,31,22,1.91,0,1,14,11,7,16,38,44,-6,1.18,1
1 Bundesliga,SV Werder Bremen,2009,3,17,10,7,71,40,31,1.79,0,1,13,10,11,13,47,61,-14,1.21,1
1 Bundesliga,VfB Stuttgart,2009,6,15,10,9,51,41,10,1.62,0,1,12,12,6,16,60,59,1,1.24,1
1 Bundesliga,1. FC Köln,2009,13,9,11,14,33,42,-9,1.12,1,1,10,13,5,16,47,62,-15,1.29,1
1 Bundesliga,1.FSV Mainz 05,2009,9,12,11,11,36,42,-6,1.38,1,0,5,18,4,12,52,39,13,1.71,0
1 Bundesliga,Borussia Mönchengladbach,2009,12,10,9,15,43,60,-17,1.15,1,2,16,10,6,18,48,65,-17,1.06,2
1 Bundesliga,Eintracht Frankfurt,2009,10,12,10,12,47,54,-7,1.35,1,2,17,9,7,18,31,49,-18,1.0,2
1 Bundesliga,Hamburger SV,2009,7,13,13,8,56,41,15,1.53,1,1,8,12,9,13,46,52,-6,1.32,1
1 Bundesliga,SC Freiburg,2009,14,9,8,17,35,59,-24,1.03,1,1,9,13,5,16,41,50,-9,1.29,1
1 Bundesliga,TSG 1899 Hoffenheim,2009,11,11,9,14,44,42,2,1.24,1,1,11,11,10,13,50,50,0,1.26,1
1 Bundesliga,VfL Wolfsburg,2009,8,14,8,12,64,58,6,1.47,1,2,15,9,11,14,43,48,-5,1.12,2
1 Bundesliga,1.FC Nuremberg,2009,16,8,7,19,32,58,-26,0.91,2,0,6,13,8,13,47,45,2,1.38,0
1 Bundesliga,Hannover 96,2009,15,9,6,19,43,67,-24,0.97,2,0,4,19,3,12,49,45,4,1.76,0
1 Bundesliga,Hertha BSC,2009,18,5,9,20,34,56,-22,0.71,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,VfL Bochum,2009,17,6,10,18,33,64,-31,0.82,2,2,0,0,0,0,0,0,0,0.0,2
1 Bundesliga,1.FC Nuremberg,2010,6,13,8,13,47,45,2,1.38,0,1,10,12,6,16,38,49,-11,1.24,1
1 Bundesliga,1.FSV Mainz 05,2010,5,18,4,12,52,39,13,1.71,0,1,13,9,12,13,47,51,-4,1.15,1
1 Bundesliga,Bayer 04 Leverkusen,2010,2,20,8,6,64,44,20,2.0,0,0,5,15,9,10,52,44,8,1.59,0
1 Bundesliga,Bayern Munich,2010,3,19,8,7,81,40,41,1.91,0,0,2,23,4,7,77,22,55,2.15,0
1 Bundesliga,Borussia Dortmund,2010,1,23,6,5,67,22,45,2.21,0,0,1,25,6,3,80,25,55,2.38,0
1 Bundesliga,Hannover 96,2010,4,19,3,12,49,45,4,1.76,0,1,7,12,12,10,41,45,-4,1.41,1
1 Bundesliga,1. FC Köln,2010,10,13,5,16,47,62,-15,1.29,1,2,17,8,6,20,39,75,-36,0.88,2
1 Bundesliga,1.FC Kaiserslautern,2010,7,13,7,14,48,51,-3,1.35,1,2,18,4,11,19,24,54,-30,0.68,2
1 Bundesliga,FC Schalke 04,2010,14,11,7,16,38,44,-6,1.18,1,0,3,20,4,10,74,44,30,1.88,0
1 Bundesliga,Hamburger SV,2010,8,12,9,13,46,52,-6,1.32,1,2,15,8,12,14,35,57,-22,1.06,2
1 Bundesliga,SC Freiburg,2010,9,13,5,16,41,50,-9,1.29,1,1,12,10,10,14,45,61,-16,1.18,1
1 Bundesliga,SV Werder Bremen,2010,13,10,11,13,47,61,-14,1.21,1,1,9,11,9,14,49,58,-9,1.24,1
