league_name,club_name,year,Rk,PF,W,D,L,GF,GA,GD,Pts/MP,PF_next_1_years
Ligue 1,AJ Auxerre,2009,3,0,20,11,7,42,29,13,1.87,1
Ligue 1,FC Girondins Bordeaux,2009,6,0,19,7,12,58,40,18,1.68,1
Ligue 1,LOSC Lille,2009,4,0,21,7,10,72,40,32,1.84,0
Ligue 1,Olympique Lyon,2009,2,0,20,12,6,64,38,26,1.89,0
Ligue 1,Olympique Marseille,2009,1,0,23,9,6,69,36,33,2.05,0
Ligue 1,AS Monaco,2009,8,1,15,10,13,39,45,-6,1.45,2
Ligue 1,AS Nancy-Lorraine,2009,12,1,13,9,16,46,53,-7,1.26,1
Ligue 1,FC Lorient,2009,7,1,16,10,12,54,42,12,1.53,1
Ligue 1,FC Toulouse,2009,14,1,12,11,15,36,36,0,1.24,1
Ligue 1,Paris Saint-Germain,2009,13,1,12,11,15,50,46,4,1.24,0
Ligue 1,RC Lens,2009,11,1,12,12,14,40,44,-4,1.26,2
Ligue 1,Stade Rennais FC,2009,9,1,14,11,13,52,41,11,1.39,0
Ligue 1,Valenciennes FC,2009,10,1,14,10,14,50,50,0,1.37,1
Ligue 1,AS Saint-Étienne,2009,17,2,10,10,18,27,45,-18,1.05,1
Ligue 1,FC Sochaux-Montbéliard,2009,16,2,11,8,19,28,52,-24,1.08,0
Ligue 1,Grenoble Foot 38,2009,20,2,5,8,25,31,61,-30,0.61,2
Ligue 1,Le Mans FC,2009,18,2,8,8,22,36,59,-23,0.84,2
Ligue 1,OGC Nice,2009,15,2,11,11,16,41,57,-16,1.16,2
Ligue 1,US Boulogne,2009,19,2,7,10,21,31,62,-31,0.82,2
Ligue 1,FC Sochaux-Montbéliard,2010,5,0,17,7,14,60,43,17,1.53,1
Ligue 1,LOSC Lille,2010,1,0,21,13,4,68,36,32,2.0,0
Ligue 1,Olympique Lyon,2010,3,0,17,13,8,61,40,21,1.68,0
Ligue 1,Olympique Marseille,2010,2,0,18,14,6,62,39,23,1.79,1
Ligue 1,Paris Saint-Germain,2010,4,0,15,15,8,56,41,15,1.58,0
Ligue 1,Stade Rennais FC,2010,6,0,15,11,12,38,35,3,1.47,0
Ligue 1,AJ Auxerre,2010,9,1,10,19,9,45,41,4,1.29,2
Ligue 1,AS Nancy-Lorraine,2010,13,1,13,9,16,43,48,-5,1.26,1
Ligue 1,AS Saint-Étienne,2010,10,1,12,13,13,46,47,-1,1.29,1
Ligue 1,FC Girondins Bordeaux,2010,7,1,12,15,11,43,42,1,1.34,0
Ligue 1,FC Lorient,2010,11,1,12,13,13,46,48,-2,1.29,2
Ligue 1,FC Toulouse,2010,8,1,14,8,16,38,36,2,1.32,1
Ligue 1,Montpellier HSC,2010,14,1,12,11,15,32,43,-11,1.24,0
Ligue 1,Valenciennes FC,2010,12,1,10,18,10,45,41,4,1.26,1
Ligue 1,AS Monaco,2010,18,2,9,17,12,36,40,-4,1.16,2
Ligue 1,Athlétic Club Arlésien,2010,20,2,3,11,24,21,70,-49,0.53,2
Ligue 1,OGC Nice,2010,17,2,11,13,14,33,48,-15,1.21,1
Ligue 1,RC Lens,2010,19,2,7,14,17,35,58,-23,0.92,2
Ligue 1,SM Caen,2010,15,2,11,13,14,46,51,-5,1.21,2
Ligue 1,Stade Brestois 29,2010,16,2,11,13,14,36,43,-7,1.21,2
Ligue 1,FC Girondins Bordeaux,2011,5,0,16,13,9,53,41,12,1.61,1
Ligue 1,LOSC Lille,2011,3,0,21,11,6,72,39,33,1.95,0
Ligue 1,Montpellier HSC,2011,1,0,25,7,6,68,34,34,2.16,1
Ligue 1,Olympique Lyon,2011,4,0,19,7,12,64,51,13,1.68,0
Ligue 1,Paris Saint-Germain,2011,2,0,23,10,5,75,41,34,2.08,0
Ligue 1,Stade Rennais FC,2011,6,0,17,9,12,53,44,9,1.58,1
Ligue 1,AS Nancy-Lorraine,2011,11,1,11,12,15,38,48,-10,1.18,2
Ligue 1,AS Saint-Étienne,2011,7,1,16,9,13,49,45,4,1.5,0
Ligue 1,FC Sochaux-Montbéliard,2011,14,1,11,9,18,40,60,-20,1.11,2
Ligue 1,FC Toulouse,2011,8,1,15,11,12,37,34,3,1.47,1
Ligue 1,FC Évian Thonon Gaillard,2011,9,1,13,11,14,54,55,-1,1.32,2
Ligue 1,OGC Nice,2011,13,1,10,12,16,39,46,-7,1.11,0
Ligue 1,Olympique Marseille,2011,10,1,12,12,14,45,41,4,1.26,0
Ligue 1,Valenciennes FC,2011,12,1,12,7,19,40,50,-10,1.13,1
Ligue 1,AC Ajaccio,2011,16,2,9,14,15,40,61,-21,1.08,2
Ligue 1,AJ Auxerre,2011,20,2,7,13,18,46,57,-11,0.89,2
Ligue 1,Dijon FCO,2011,19,2,9,9,20,38,63,-25,0.95,2
Ligue 1,FC Lorient,2011,17,2,9,12,17,35,49,-14,1.03,1
Ligue 1,SM Caen,2011,18,2,9,11,18,39,59,-20,1.0,2
Ligue 1,Stade Brestois 29,2011,15,2,8,17,13,31,38,-7,1.08,2
Ligue 1,AS Saint-Étienne,2012,5,0,16,15,7,60,32,28,1.66,0
Ligue 1,LOSC Lille,2012,6,0,16,14,8,59,40,19,1.63,0
Ligue 1,OGC Nice,2012,4,0,18,10,10,57,46,11,1.68,2
Ligue 1,Olympique Lyon,2012,3,0,19,10,9,61,38,23,1.76,0
Ligue 1,Olympique Marseille,2012,2,0,21,8,9,42,36,6,1.87,0
Ligue 1,Paris Saint-Germain,2012,1,0,25,8,5,69,23,46,2.18,0
Ligue 1,FC Girondins Bordeaux,2012,7,1,13,16,9,40,34,6,1.45,1
Ligue 1,FC Lorient,2012,8,1,14,11,13,57,58,-1,1.39,1
Ligue 1,FC Toulouse,2012,10,1,13,12,13,49,47,2,1.34,1
Ligue 1,Montpellier HSC,2012,9,1,15,7,16,54,51,3,1.37,2
Ligue 1,SC Bastia,2012,12,1,13,8,17,50,66,-16,1.24,1
Ligue 1,Stade Reims,2012,14,1,10,13,15,33,42,-9,1.13,1
Ligue 1,Stade Rennais FC,2012,13,1,13,7,18,48,59,-11,1.21,1
Ligue 1,Valenciennes FC,2012,11,1,12,12,14,49,53,-4,1.26,2
Ligue 1,AC Ajaccio,2012,17,2,9,15,14,39,51,-12,1.05,2
Ligue 1,AS Nancy-Lorraine,2012,18,2,9,11,18,38,58,-20,1.0,2
Ligue 1,ESTAC Troyes,2012,19,2,8,13,17,43,61,-18,0.97,2
Ligue 1,FC Sochaux-Montbéliard,2012,15,2,10,11,17,41,57,-16,1.08,2
Ligue 1,FC Évian Thonon Gaillard,2012,16,2,10,10,18,46,53,-7,1.05,1
Ligue 1,Stade Brestois 29,2012,20,2,8,5,25,32,62,-30,0.76,2
Ligue 1,AS Monaco,2013,2,0,23,11,4,63,31,32,2.11,0
Ligue 1,AS Saint-Étienne,2013,4,0,20,9,9,56,34,22,1.82,0
Ligue 1,LOSC Lille,2013,3,0,20,11,7,46,26,20,1.87,1
Ligue 1,Olympique Lyon,2013,5,0,17,10,11,56,44,12,1.61,0
Ligue 1,Olympique Marseille,2013,6,0,16,12,10,53,40,13,1.58,0
Ligue 1,Paris Saint-Germain,2013,1,0,27,8,3,84,23,61,2.34,0
Ligue 1,FC Girondins Bordeaux,2013,7,1,13,14,11,49,43,6,1.39,0
Ligue 1,FC Lorient,2013,8,1,13,10,15,48,53,-5,1.29,2
Ligue 1,FC Nantes,2013,13,1,12,10,16,38,43,-5,1.21,1
Ligue 1,FC Toulouse,2013,9,1,12,13,13,46,53,-7,1.29,2
Ligue 1,FC Évian Thonon Gaillard,2013,14,1,11,11,16,39,51,-12,1.16,2
Ligue 1,SC Bastia,2013,10,1,13,10,15,42,56,-14,1.29,1
Ligue 1,Stade Reims,2013,11,1,12,12,14,44,52,-8,1.26,2
Ligue 1,Stade Rennais FC,2013,12,1,11,13,14,47,45,2,1.21,1
Ligue 1,EA Guingamp,2013,16,2,11,9,18,34,42,-8,1.11,1
Ligue 1,FC Sochaux-Montbéliard,2013,18,2,10,10,18,37,61,-24,1.05,2
Ligue 1,Montpellier HSC,2013,15,2,8,18,12,45,53,-8,1.11,1
Ligue 1,Valenciennes FC,2013,19,2,7,8,23,37,65,-28,0.76,2
Ligue 1,AS Monaco,2014,3,0,20,11,7,51,26,25,1.87,0
Ligue 1,AS Saint-Étienne,2014,5,0,19,12,7,51,30,21,1.82,0
Ligue 1,FC Girondins Bordeaux,2014,6,0,17,12,9,47,44,3,1.66,1
Ligue 1,Olympique Lyon,2014,2,0,22,9,7,72,33,39,1.97,0
Ligue 1,Olympique Marseille,2014,4,0,21,6,11,76,42,34,1.82,1
Ligue 1,Paris Saint-Germain,2014,1,0,24,11,3,83,36,47,2.18,0
Ligue 1,EA Guingamp,2014,10,1,15,4,19,41,55,-14,1.29,2
Ligue 1,FC Nantes,2014,14,1,11,12,15,29,40,-11,1.18,1
Ligue 1,LOSC Lille,2014,8,1,16,8,14,43,42,1,1.47,0
Ligue 1,Montpellier HSC,2014,7,1,16,8,14,46,39,7,1.47,1
Ligue 1,OGC Nice,2014,11,1,13,9,16,44,53,-9,1.26,0
