league_name,club_name,year,Rk,PF,W,D,L,GF,GA,GD,Pts/MP,PF_next_3_years
1 Bundesliga,Bayer 04 Leverkusen,2009,4,0,15,14,5,65,38,27,1.74,0
1 Bundesliga,Bayern Munich,2009,1,0,20,10,4,72,31,41,2.06,0
1 Bundesliga,Borussia Dortmund,2009,5,0,16,9,9,54,42,12,1.68,0
1 Bundesliga,FC Schalke 04,2009,2,0,19,8,7,53,31,22,1.91,0
1 Bundesliga,SV Werder Bremen,2009,3,0,17,10,7,71,40,31,1.79,1
1 Bundesliga,VfB Stuttgart,2009,6,0,15,10,9,51,41,10,1.62,1
1 Bundesliga,1. FC Köln,2009,13,1,9,11,14,33,42,-9,1.12,2
1 Bundesliga,1.FSV Mainz 05,2009,9,1,12,11,11,36,42,-6,1.38,1
1 Bundesliga,Borussia Mönchengladbach,2009,12,1,10,9,15,43,60,-17,1.15,1
1 Bundesliga,Eintracht Frankfurt,2009,10,1,12,10,12,47,54,-7,1.35,0
1 Bundesliga,Hamburger SV,2009,7,1,13,13,8,56,41,15,1.53,1
1 Bundesliga,SC Freiburg,2009,14,1,9,8,17,35,59,-24,1.03,0
1 Bundesliga,TSG 1899 Hoffenheim,2009,11,1,11,9,14,44,42,2,1.24,2
1 Bundesliga,VfL Wolfsburg,2009,8,1,14,8,12,64,58,6,1.47,1
1 Bundesliga,1.FC Nuremberg,2009,16,2,8,7,19,32,58,-26,0.91,1
1 Bundesliga,Hannover 96,2009,15,2,9,6,19,43,67,-24,0.97,1
1 Bundesliga,Hertha BSC,2009,18,2,5,9,20,34,56,-22,0.71,2
1 Bundesliga,VfL Bochum,2009,17,2,6,10,18,33,64,-31,0.82,2
1 Bundesliga,1.FC Nuremberg,2010,6,0,13,8,13,47,45,2,1.38,2
1 Bundesliga,1.FSV Mainz 05,2010,5,0,18,4,12,52,39,13,1.71,1
1 Bundesliga,Bayer 04 Leverkusen,2010,2,0,20,8,6,64,44,20,2.0,0
1 Bundesliga,Bayern Munich,2010,3,0,19,8,7,81,40,41,1.91,0
1 Bundesliga,Borussia Dortmund,2010,1,0,23,6,5,67,22,45,2.21,0
1 Bundesliga,Hannover 96,2010,4,0,19,3,12,49,45,4,1.76,1
1 Bundesliga,1. FC Köln,2010,10,1,13,5,16,47,62,-15,1.29,2
1 Bundesliga,1.FC Kaiserslautern,2010,7,1,13,7,14,48,51,-3,1.35,2
1 Bundesliga,FC Schalke 04,2010,14,1,11,7,16,38,44,-6,1.18,0
1 Bundesliga,Hamburger SV,2010,8,1,12,9,13,46,52,-6,1.32,2
1 Bundesliga,SC Freiburg,2010,9,1,13,5,16,41,50,-9,1.29,1
1 Bundesliga,SV Werder Bremen,2010,13,1,10,11,13,47,61,-14,1.21,1
1 Bundesliga,TSG 1899 Hoffenheim,2010,11,1,11,10,13,50,50,0,1.26,1
1 Bundesliga,VfB Stuttgart,2010,12,1,12,6,16,60,59,1,1.24,2
1 Bundesliga,Borussia Mönchengladbach,2010,16,2,10,6,18,48,65,-17,1.06,0
1 Bundesliga,Eintracht Frankfurt,2010,17,2,9,7,18,31,49,-18,1.0,1
1 Bundesliga,FC St. Pauli,2010,18,2,8,5,21,35,68,-33,0.85,2
1 Bundesliga,VfL Wolfsburg,2010,15,2,9,11,14,43,48,-5,1.12,0
1 Bundesliga,Bayer 04 Leverkusen,2011,5,0,15,9,10,52,44,8,1.59,0
1 Bundesliga,Bayern Munich,2011,2,0,23,4,7,77,22,55,2.15,0
1 Bundesliga,Borussia Dortmund,2011,1,0,25,6,3,80,25,55,2.38,1
