league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_3_years_future,Rk_3_years_future,W_3_years_future,D_3_years_future,L_3_years_future,GF_3_years_future,GA_3_years_future,GD_3_years_future,Pts/MP_3_years_future,PF_4_years_future,Rk_4_years_future,W_4_years_future,D_4_years_future,L_4_years_future,GF_4_years_future,GA_4_years_future,GD_4_years_future,Pts/MP_4_years_future,PF_next_5_years
Serie A,AC Milan,2009,3,20,10,8,60,39,21,1.84,0,0,1,24,10,4,65,24,41,2.16,0,2,24,8,6,74,33,41,2.11,0,3,21,9,8,67,39,28,1.89,1,8,16,9,13,57,49,8,1.5,1
Serie A,AS Roma,2009,2,24,8,6,68,41,27,2.11,0,0,6,18,9,11,59,52,7,1.66,1,7,16,8,14,60,54,6,1.47,0,6,18,8,12,71,56,15,1.63,0,2,26,7,5,72,25,47,2.24,0
Serie A,FC Internazionale,2009,1,24,10,4,75,34,41,2.16,0,0,2,23,7,8,69,42,27,2.0,0,6,17,7,14,58,55,3,1.53,1,9,16,6,16,55,57,-2,1.42,0,5,15,15,8,62,39,23,1.58,1
Serie A,SSC Napoli,2009,6,15,14,9,50,43,7,1.55,0,0,3,21,7,10,59,39,20,1.84,0,5,16,13,9,66,46,20,1.61,0,2,23,9,6,73,36,37,2.05,0,3,23,9,6,77,39,38,2.05,0
Serie A,UC Sampdoria,2009,4,19,10,9,49,41,8,1.76,0,2,18,8,12,18,33,49,-16,0.95,2,0,0,0,0,0,0,0,0.0,1,14,11,10,17,43,51,-8,1.11,1,12,12,9,17,48,62,-14,1.18,1
Serie A,US Palermo,2009,5,18,11,9,59,47,12,1.71,0,1,8,17,5,16,58,63,-5,1.47,2,16,11,10,17,52,62,-10,1.13,2,18,6,14,18,34,54,-20,0.84,2,0,0,0,0,0,0,0,0.0,1
Serie A,ACF Fiorentina,2009,11,13,8,17,48,47,1,1.24,1,1,9,12,15,11,49,44,5,1.34,1,13,11,13,14,37,43,-6,1.21,0,4,21,7,10,72,44,28,1.84,0,4,19,8,11,65,44,21,1.71,0
Serie A,AS Bari,2009,10,13,11,14,49,49,0,1.32,1,2,20,5,9,24,27,56,-29,0.63,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0.0,2
Serie A,Catania SSD,2009,13,10,15,13,44,45,-1,1.18,1,1,13,12,10,16,40,52,-12,1.21,1,11,11,15,12,47,52,-5,1.26,1,8,15,11,12,50,46,4,1.47,2,18,8,8,22,34,66,-32,0.84,2
Serie A,Chievo Verona,2009,14,12,8,18,37,42,-5,1.16,1,1,11,11,13,14,38,40,-2,1.21,1,10,12,13,13,35,45,-10,1.29,1,12,12,9,17,37,52,-15,1.18,2,16,10,6,22,34,54,-20,0.95,1
