league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_3_years
Ligue 1,AJ Auxerre,2009,1.5,1.5,22.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.5,1.5,22.0,1,0.0,0.0,0.0,0,4.7,2.35,26.0,0.0,0.0,0.0,0,1.0,1.0,26.0,1,3.7,3.7,26.0,1,0.0,0.0,0.0,0,0,3,20,11,7,42,29,13,1.87,2
Ligue 1,FC Girondins Bordeaux,2009,28.5,7.125,25.25,8.0,8.0,27.0,1,4.0,4.0,25.0,1,16.5,8.25,24.5,2,0.0,0.0,0.0,0,11.0,3.667,25.333,0.5,0.5,26.0,1,6.5,6.5,30.0,1,4.0,4.0,20.0,1,0.0,0.0,0.0,0,0,6,19,7,12,58,40,18,1.68,1
Ligue 1,LOSC Lille,2009,8.6,2.867,26.667,1.6,1.6,30.0,1,0.5,0.5,28.0,1,0.0,0.0,0.0,0,6.5,6.5,22.0,1,18.75,9.375,26.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,18.0,18.0,25.0,1,0.75,0.75,27.0,1,0,4,21,7,10,72,40,32,1.84,0
Ligue 1,Olympique Lyon,2009,82.7,13.783,22.0,0.0,0.0,0.0,0,27.7,9.233,19.333,3,18.0,18.0,25.0,1,37.0,18.5,24.5,2,53.0,6.625,26.5,0.0,0.0,0.0,0,5.0,1.667,26.333,3,2.5,2.5,34.0,1,45.5,11.375,24.75,4,0,2,20,12,6,64,38,26,1.89,0
Ligue 1,Olympique Marseille,2009,42.3,5.288,28.125,0.2,0.2,30.0,1,8.6,2.15,28.5,4,33.5,11.167,27.0,3,0.0,0.0,0.0,0,27.8,5.56,25.6,0.0,0.0,0.0,0,7.0,3.5,25.0,2,12.8,6.4,25.5,2,8.0,8.0,27.0,1,0,1,23,9,6,69,36,33,2.05,0
Ligue 1,AS Monaco,2009,9.9,1.98,25.4,0.0,0.0,0.0,0,0.7,0.7,27.0,1,6.5,3.25,24.5,2,2.7,1.35,25.5,2,6.075,1.519,23.25,0.0,0.0,0.0,0,1.575,0.788,25.0,2,2.0,2.0,23.0,1,2.5,2.5,20.0,1,1,8,15,10,13,39,45,-6,1.45,2
Ligue 1,AS Nancy-Lorraine,2009,5.7,1.425,23.0,0.0,0.0,0.0,0,2.2,1.1,25.0,2,1.0,1.0,22.0,1,2.5,2.5,20.0,1,5.6,1.4,25.25,0.0,0.0,0.0,0,0.2,0.2,21.0,1,0.75,0.75,23.0,1,4.65,2.325,28.5,2,1,12,13,9,16,46,53,-7,1.26,2
Ligue 1,FC Lorient,2009,7.0,1.4,24.6,0.0,0.0,0.0,0,5.5,1.375,24.75,4,1.5,1.5,24.0,1,0.0,0.0,0.0,0,9.5,2.375,28.5,0.0,0.0,0.0,0,6.5,3.25,25.0,2,2.5,2.5,30.0,1,0.5,0.5,34.0,1,1,7,16,10,12,54,42,12,1.53,1
Ligue 1,FC Toulouse,2009,6.0,3.0,21.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.5,3.5,23.0,1,2.5,2.5,20.0,1,11.95,3.983,26.667,8.0,8.0,27.0,1,3.5,3.5,27.0,1,0.0,0.0,0.0,0,0.45,0.45,26.0,1,1,14,12,11,15,36,36,0,1.24,1
Ligue 1,Paris Saint-Germain,2009,15.5,3.875,28.25,0.8,0.8,36.0,1,2.5,2.5,25.0,1,0.0,0.0,0.0,0,12.2,6.1,26.0,2,6.3,1.05,26.667,1.6,1.6,30.0,1,1.7,1.7,25.0,1,2.9,0.967,27.667,3,0.1,0.1,22.0,1,1,13,12,11,15,50,46,4,1.24,0
