league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_5_years
Primera Division,FC Barcelona,2009,113.5,28.375,24.0,0.0,0.0,0.0,0,30.0,15.0,24.5,2,0.0,0.0,0.0,0,83.5,41.75,23.5,2,24.5,6.125,27.0,0.0,0.0,0.0,0,0.5,0.5,22.0,1,2.0,2.0,28.0,1,22.0,11.0,29.0,2,0,1,31,6,1,98,24,74,2.61,0
Primera Division,Getafe CF,2009,12.25,2.45,23.6,0.0,0.0,0.0,0,4.5,2.25,25.0,2,3.75,1.875,23.0,2,4.0,4.0,22.0,1,11.4,2.85,23.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.4,2.2,22.5,2,7.0,3.5,24.5,2,0,6,17,7,14,58,48,10,1.53,2
Primera Division,RCD Mallorca,2009,0.4,0.4,26.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.4,0.4,26.0,1,0.0,0.0,0.0,0,9.95,1.99,23.2,5.0,5.0,25.0,1,0.5,0.5,19.0,1,3.6,3.6,29.0,1,0.85,0.425,21.5,2,0,5,18,8,12,59,44,15,1.63,2
Primera Division,Real Madrid,2009,258.5,32.312,24.125,0.0,0.0,0.0,0,19.0,9.5,24.5,2,105.5,35.167,25.333,3,134.0,44.667,22.667,3,88.5,9.833,24.667,0.0,0.0,0.0,0,3.5,1.75,27.0,2,25.0,8.333,22.333,3,60.0,15.0,25.25,4,0,2,31,3,4,102,35,67,2.53,0
Primera Division,Sevilla FC,2009,27.5,6.875,25.75,0.0,0.0,0.0,0,3.5,1.75,25.5,2,9.0,9.0,28.0,1,15.0,15.0,24.0,1,9.3,1.55,27.667,1.9,1.9,32.0,1,4.7,2.35,25.0,2,2.2,1.1,29.0,2,0.5,0.5,26.0,1,0,4,19,6,13,65,49,16,1.66,0
Primera Division,Valencia CF,2009,5.0,5.0,25.0,5.0,5.0,25.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,20.625,3.438,24.833,0.5,0.5,24.0,1,19.325,6.442,26.333,3,0.8,0.4,23.0,2,0.0,0.0,0.0,0,0,3,21,8,9,59,40,19,1.87,0
Primera Division,Athletic Bilbao,2009,2.35,1.175,22.0,0.0,0.0,0.0,0,2.35,1.175,22.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,8,15,9,14,50,53,-3,1.42,1
Primera Division,CA Osasuna,2009,2.46,1.23,28.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.46,1.23,28.5,2,4.0,2.0,26.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.0,2.0,26.0,2,0.0,0.0,0.0,0,1,12,11,10,17,37,46,-9,1.13,2
Primera Division,Deportivo de La Coruña,2009,2.0,2.0,26.0,0.0,0.0,0.0,0,2.0,2.0,26.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.7,1.35,24.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.7,1.35,24.5,2,1,10,13,8,17,35,49,-14,1.24,2
Primera Division,RCD Espanyol Barcelona,2009,5.8,1.45,21.25,0.0,0.0,0.0,0,4.3,2.15,21.5,2,0.0,0.0,0.0,0,1.5,0.75,21.0,2,8.15,2.038,25.25,0.0,0.0,0.0,0,4.5,2.25,23.0,2,3.65,1.825,27.5,2,0.0,0.0,0.0,0,1,11,11,11,16,29,46,-17,1.16,1
Primera Division,Real Zaragoza,2009,14.9,1.862,25.25,1.0,1.0,25.0,1,4.4,1.467,25.333,3,1.0,1.0,24.0,1,8.5,2.833,25.667,3,10.915,3.638,27.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10.5,5.25,26.5,2,0.415,0.415,28.0,1,1,14,10,11,17,46,64,-18,1.08,2
