league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,total_fee_in_1_years_future,mean_fee_in_1_years_future,mean_age_in_1_years_future,total_fee_in_GK_1_years_future,mean_fee_in_GK_1_years_future,mean_age_in_GK_1_years_future,count_GK_in_1_years_future,total_fee_in_DEF_1_years_future,mean_fee_in_DEF_1_years_future,mean_age_in_DEF_1_years_future,count_DEF_in_1_years_future,total_fee_in_MID_1_years_future,mean_fee_in_MID_1_years_future,mean_age_in_MID_1_years_future,count_MID_in_1_years_future,total_fee_in_STK_1_years_future,mean_fee_in_STK_1_years_future,mean_age_in_STK_1_years_future,count_STK_in_1_years_future,total_fee_out_1_years_future,mean_fee_out_1_years_future,mean_age_out_1_years_future,total_fee_out_GK_1_years_future,mean_fee_out_GK_1_years_future,mean_age_out_GK_1_years_future,count_GK_out_1_years_future,total_fee_out_DEF_1_years_future,mean_fee_out_DEF_1_years_future,mean_age_out_DEF_1_years_future,count_DEF_out_1_years_future,total_fee_out_MID_1_years_future,mean_fee_out_MID_1_years_future,mean_age_out_MID_1_years_future,count_MID_out_1_years_future,total_fee_out_STK_1_years_future,mean_fee_out_STK_1_years_future,mean_age_out_STK_1_years_future,count_STK_out_1_years_future,total_fee_in_2_years_future,mean_fee_in_2_years_future,mean_age_in_2_years_future,total_fee_in_GK_2_years_future,mean_fee_in_GK_2_years_future,mean_age_in_GK_2_years_future,count_GK_in_2_years_future,total_fee_in_DEF_2_years_future,mean_fee_in_DEF_2_years_future,mean_age_in_DEF_2_years_future,count_DEF_in_2_years_future,total_fee_in_MID_2_years_future,mean_fee_in_MID_2_years_future,mean_age_in_MID_2_years_future,count_MID_in_2_years_future,total_fee_in_STK_2_years_future,mean_fee_in_STK_2_years_future,mean_age_in_STK_2_years_future,count_STK_in_2_years_future,total_fee_out_2_years_future,mean_fee_out_2_years_future,mean_age_out_2_years_future,total_fee_out_GK_2_years_future,mean_fee_out_GK_2_years_future,mean_age_out_GK_2_years_future,count_GK_out_2_years_future,total_fee_out_DEF_2_years_future,mean_fee_out_DEF_2_years_future,mean_age_out_DEF_2_years_future,count_DEF_out_2_years_future,total_fee_out_MID_2_years_future,mean_fee_out_MID_2_years_future,mean_age_out_MID_2_years_future,count_MID_out_2_years_future,total_fee_out_STK_2_years_future,mean_fee_out_STK_2_years_future,mean_age_out_STK_2_years_future,count_STK_out_2_years_future,total_fee_in_3_years_future,mean_fee_in_3_years_future,mean_age_in_3_years_future,total_fee_in_GK_3_years_future,mean_fee_in_GK_3_years_future,mean_age_in_GK_3_years_future,count_GK_in_3_years_future,total_fee_in_DEF_3_years_future,mean_fee_in_DEF_3_years_future,mean_age_in_DEF_3_years_future,count_DEF_in_3_years_future,total_fee_in_MID_3_years_future,mean_fee_in_MID_3_years_future,mean_age_in_MID_3_years_future,count_MID_in_3_years_future,total_fee_in_STK_3_years_future,mean_fee_in_STK_3_years_future,mean_age_in_STK_3_years_future,count_STK_in_3_years_future,total_fee_out_3_years_future,mean_fee_out_3_years_future,mean_age_out_3_years_future,total_fee_out_GK_3_years_future,mean_fee_out_GK_3_years_future,mean_age_out_GK_3_years_future,count_GK_out_3_years_future,total_fee_out_DEF_3_years_future,mean_fee_out_DEF_3_years_future,mean_age_out_DEF_3_years_future,count_DEF_out_3_years_future,total_fee_out_MID_3_years_future,mean_fee_out_MID_3_years_future,mean_age_out_MID_3_years_future,count_MID_out_3_years_future,total_fee_out_STK_3_years_future,mean_fee_out_STK_3_years_future,mean_age_out_STK_3_years_future,count_STK_out_3_years_future,PF
Ligue 1,AJ Auxerre,2009,1.5,1.5,22.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.5,1.5,22.0,1,0.0,0.0,0.0,0,4.7,2.35,26.0,0.0,0.0,0.0,0,1.0,1.0,26.0,1,3.7,3.7,26.0,1,0.0,0.0,0.0,0,3.5,1.75,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,24.0,1.0,3.0,3.0,25.0,1.0,2.43,1.215,23.5,0.0,0.0,0.0,0.0,0.93,0.93,26.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,21.0,1.0,3.75,1.25,25.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.875,24.5,2.0,2.0,2.0,27.0,1.0,3.5,1.75,30.0,0.0,0.0,0.0,0.0,2.0,2.0,30.0,1.0,1.5,1.5,30.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,22.0,1.0,0.0,0.0,0.0,0.0,4.7,2.35,26.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,3.7,3.7,26.0,1.0,0.0,0.0,0.0,0.0,0
Ligue 1,FC Girondins Bordeaux,2009,28.5,7.125,25.25,8.0,8.0,27.0,1,4.0,4.0,25.0,1,16.5,8.25,24.5,2,0.0,0.0,0.0,0,11.0,3.667,25.333,0.5,0.5,26.0,1,6.5,6.5,30.0,1,4.0,4.0,20.0,1,0.0,0.0,0.0,0,10.5,2.1,22.2,0.0,0.0,0.0,0.0,1.5,1.5,20.0,1.0,0.0,0.0,0.0,0.0,9.0,2.25,22.75,4.0,22.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,24.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,26.0,0.0,0.0,0.0,0.0,3.0,3.0,25.0,1.0,1.0,1.0,27.0,1.0,0.0,0.0,0.0,0.0,12.5,4.167,29.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,4.167,29.333,3.0,0.0,0.0,0.0,0.0,2.8,2.8,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.8,19.0,1.0,5.5,1.375,24.25,0.0,0.0,0.0,0.0,2.7,1.35,24.5,2.0,0.8,0.8,22.0,1.0,2.0,2.0,26.0,1.0,0
Ligue 1,LOSC Lille,2009,8.6,2.867,26.667,1.6,1.6,30.0,1,0.5,0.5,28.0,1,0.0,0.0,0.0,0,6.5,6.5,22.0,1,18.75,9.375,26.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,18.0,18.0,25.0,1,0.75,0.75,27.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.15,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.15,27.0,2.0,23.4,2.925,25.375,0.0,0.0,0.0,0.0,2.2,0.733,29.0,3.0,10.5,5.25,27.0,2.0,10.7,3.567,20.667,3.0,36.9,5.271,25.429,0.0,0.0,0.0,0.0,8.0,4.0,25.0,2.0,6.0,3.0,26.0,2.0,22.9,7.633,25.333,3.0,22.5,3.75,20.333,0.0,0.0,0.0,0.0,2.5,2.5,19.0,1.0,12.7,6.35,21.0,2.0,7.3,2.433,20.333,3.0,41.2,20.6,24.0,0.0,0.0,0.0,0.0,6.2,6.2,27.0,1.0,0.0,0.0,0.0,0.0,35.0,35.0,21.0,1.0,0
Ligue 1,Olympique Lyon,2009,82.7,13.783,22.0,0.0,0.0,0.0,0,27.7,9.233,19.333,3,18.0,18.0,25.0,1,37.0,18.5,24.5,2,53.0,6.625,26.5,0.0,0.0,0.0,0,5.0,1.667,26.333,3,2.5,2.5,34.0,1,45.5,11.375,24.75,4,28.44,9.48,24.667,0.0,0.0,0.0,0.0,0.44,0.44,26.0,1.0,22.0,22.0,24.0,1.0,6.0,6.0,24.0,1.0,10.815,2.704,28.75,0.0,0.0,0.0,0.0,0.915,0.915,30.0,1.0,8.7,4.35,27.0,2.0,1.2,1.2,31.0,1.0,4.6,1.533,22.333,0.0,0.0,0.0,0.0,2.8,1.4,23.5,2.0,1.8,1.8,20.0,1.0,0.0,0.0,0.0,0.0,22.0,11.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,24.0,2.0,0.0,0.0,0.0,0.0,8.75,2.917,26.667,0.0,0.0,0.0,0.0,5.75,2.875,26.5,2.0,3.0,3.0,27.0,1.0,0.0,0.0,0.0,0.0,30.1,4.3,24.286,12.6,12.6,25.0,1.0,9.0,4.5,23.5,2.0,5.0,1.667,26.0,3.0,3.5,3.5,20.0,1.0,0
Ligue 1,Olympique Marseille,2009,42.3,5.288,28.125,0.2,0.2,30.0,1,8.6,2.15,28.5,4,33.5,11.167,27.0,3,0.0,0.0,0.0,0,27.8,5.56,25.6,0.0,0.0,0.0,0,7.0,3.5,25.0,2,12.8,6.4,25.5,2,8.0,8.0,27.0,1,41.5,10.375,24.0,0.0,0.0,0.0,0.0,10.0,5.0,24.5,2.0,0.0,0.0,0.0,0.0,31.5,15.75,23.5,2.0,22.6,3.767,25.0,0.0,0.0,0.0,0.0,0.8,0.8,22.0,1.0,8.5,4.25,23.0,2.0,13.3,4.433,27.333,3.0,11.0,3.667,25.667,0.0,0.0,0.0,0.0,6.0,3.0,24.0,2.0,5.0,5.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,1.45,25.167,0.4,0.4,18.0,1.0,2.8,1.4,23.5,2.0,2.5,1.25,29.0,2.0,3.0,3.0,28.0,1.0,29.8,5.96,26.0,0.0,0.0,0.0,0.0,8.8,8.8,22.0,1.0,10.5,3.5,27.333,3.0,10.5,10.5,26.0,1.0,0
Ligue 1,AS Monaco,2009,9.9,1.98,25.4,0.0,0.0,0.0,0,0.7,0.7,27.0,1,6.5,3.25,24.5,2,2.7,1.35,25.5,2,6.075,1.519,23.25,0.0,0.0,0.0,0,1.575,0.788,25.0,2,2.0,2.0,23.0,1,2.5,2.5,20.0,1,9.75,1.95,23.8,0.0,0.0,0.0,0.0,0.7,0.7,28.0,1.0,0.0,0.0,0.0,0.0,9.05,2.262,22.75,4.0,14.1,2.014,26.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,2.4,28.667,3.0,6.9,1.725,25.25,4.0,9.9,1.98,25.4,0.0,0.0,0.0,0.0,0.7,0.7,27.0,1.0,6.5,3.25,24.5,2.0,2.7,1.35,25.5,2.0,6.075,1.519,23.25,0.0,0.0,0.0,0.0,1.575,0.788,25.0,2.0,2.0,2.0,23.0,1.0,2.5,2.5,20.0,1.0,9.9,1.98,25.4,0.0,0.0,0.0,0.0,0.7,0.7,27.0,1.0,6.5,3.25,24.5,2.0,2.7,1.35,25.5,2.0,6.075,1.519,23.25,0.0,0.0,0.0,0.0,1.575,0.788,25.0,2.0,2.0,2.0,23.0,1.0,2.5,2.5,20.0,1.0,1
Ligue 1,AS Nancy-Lorraine,2009,5.7,1.425,23.0,0.0,0.0,0.0,0,2.2,1.1,25.0,2,1.0,1.0,22.0,1,2.5,2.5,20.0,1,5.6,1.4,25.25,0.0,0.0,0.0,0,0.2,0.2,21.0,1,0.75,0.75,23.0,1,4.65,2.325,28.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05,2.013,22.5,0.0,0.0,0.0,0.0,0.25,0.125,22.0,2.0,0.0,0.0,0.0,0.0,7.8,3.9,23.0,2.0,5.35,1.07,23.4,0.8,0.8,25.0,1.0,0.0,0.0,0.0,0.0,1.9,0.95,24.0,2.0,2.65,1.325,22.0,2.0,9.6,1.6,26.333,0.0,0.0,0.0,0.0,0.7,0.35,27.5,2.0,7.2,2.4,24.0,3.0,1.7,1.7,31.0,1.0,4.7,1.175,21.25,0.0,0.0,0.0,0.0,1.2,1.2,21.0,1.0,1.5,0.75,21.0,2.0,2.0,2.0,22.0,1.0,6.5,3.25,21.5,0.0,0.0,0.0,0.0,2.5,2.5,20.0,1.0,4.0,4.0,23.0,1.0,0.0,0.0,0.0,0.0,1
Ligue 1,FC Lorient,2009,7.0,1.4,24.6,0.0,0.0,0.0,0,5.5,1.375,24.75,4,1.5,1.5,24.0,1,0.0,0.0,0.0,0,9.5,2.375,28.5,0.0,0.0,0.0,0,6.5,3.25,25.0,2,2.5,2.5,30.0,1,0.5,0.5,34.0,1,6.0,1.5,22.25,0.0,0.0,0.0,0.0,3.5,1.75,21.0,2.0,1.0,1.0,26.0,1.0,1.5,1.5,21.0,1.0,12.8,6.4,27.0,0.0,0.0,0.0,0.0,12.8,6.4,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,1.85,23.0,0.0,0.0,0.0,0.0,2.0,2.0,24.0,1.0,3.5,1.75,22.5,2.0,5.6,1.867,23.0,3.0,16.0,5.333,24.333,0.0,0.0,0.0,0.0,2.5,2.5,27.0,1.0,0.0,0.0,0.0,0.0,13.5,6.75,23.0,2.0,10.0,3.333,22.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.333,22.667,3.0,0.0,0.0,0.0,0.0,5.0,2.5,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,28.0,2.0,0.0,0.0,0.0,0.0,1
Ligue 1,FC Toulouse,2009,6.0,3.0,21.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.5,3.5,23.0,1,2.5,2.5,20.0,1,11.95,3.983,26.667,8.0,8.0,27.0,1,3.5,3.5,27.0,1,0.0,0.0,0.0,0,0.45,0.45,26.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.65,5.55,23.0,0.0,0.0,0.0,0.0,0.3,0.3,24.0,1.0,0.0,0.0,0.0,0.0,16.35,8.175,22.5,2.0,13.34,2.668,23.0,0.0,0.0,0.0,0.0,3.54,1.18,22.0,3.0,0.0,0.0,0.0,0.0,9.8,4.9,24.5,2.0,4.8,1.6,25.333,0.0,0.0,0.0,0.0,0.45,0.45,29.0,1.0,0.0,0.0,0.0,0.0,4.35,2.175,23.5,2.0,1.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,1.0,14.1,2.82,25.4,0.0,0.0,0.0,0.0,5.0,5.0,27.0,1.0,4.7,2.35,24.5,2.0,4.4,2.2,25.5,2.0,1
Ligue 1,Paris Saint-Germain,2009,15.5,3.875,28.25,0.8,0.8,36.0,1,2.5,2.5,25.0,1,0.0,0.0,0.0,0,12.2,6.1,26.0,2,6.3,1.05,26.667,1.6,1.6,30.0,1,1.7,1.7,25.0,1,2.9,0.967,27.667,3,0.1,0.1,22.0,1,9.0,3.0,27.667,0.0,0.0,0.0,0.0,1.5,1.5,28.0,1.0,7.5,3.75,27.5,2.0,0.0,0.0,0.0,0.0,7.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,26.0,1.0,0.0,0.0,0.0,0.0,107.1,9.736,26.273,3.9,3.9,24.0,1.0,14.7,3.675,29.0,4.0,69.5,17.375,25.25,4.0,19.0,9.5,24.0,2.0,9.4,2.35,23.0,0.0,0.0,0.0,0.0,0.5,0.5,21.0,1.0,2.3,1.15,23.5,2.0,6.6,6.6,24.0,1.0,151.0,25.167,24.5,0.0,0.0,0.0,0.0,48.0,24.0,25.5,2.0,12.0,12.0,19.0,1.0,91.0,30.333,25.667,3.0,4.75,2.375,28.0,0.0,0.0,0.0,0.0,2.75,2.75,28.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,28.0,1.0,1
