league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_next_3_years
Primera Division,FC Barcelona,2009,1,31,6,1,98,24,74,2.61,0,0,1,30,6,2,95,21,74,2.53,0,2,28,7,3,114,29,85,2.39,0
Primera Division,Getafe CF,2009,6,17,7,14,58,48,10,1.53,0,2,16,12,8,18,49,60,-11,1.16,1,11,12,11,15,40,51,-11,1.24,1
Primera Division,RCD Mallorca,2009,5,18,8,12,59,44,15,1.63,0,2,17,12,8,18,41,56,-15,1.16,1,8,14,10,14,42,46,-4,1.37,1
Primera Division,Real Madrid,2009,2,31,3,4,102,35,67,2.53,0,0,2,29,5,4,102,33,69,2.42,0,1,32,4,2,121,32,89,2.63,0
Primera Division,Sevilla FC,2009,4,19,6,13,65,49,16,1.66,0,0,5,17,7,14,62,61,1,1.53,1,9,13,11,14,48,47,1,1.32,1
Primera Division,Valencia CF,2009,3,21,8,9,59,40,19,1.87,0,0,3,21,8,9,64,44,20,1.87,0,3,17,10,11,59,44,15,1.61,0
Primera Division,Athletic Bilbao,2009,8,15,9,14,50,53,-3,1.42,1,0,6,18,4,16,59,55,4,1.53,1,10,12,13,13,49,52,-3,1.29,1
Primera Division,CA Osasuna,2009,12,11,10,17,37,46,-9,1.13,1,1,9,13,8,17,45,46,-1,1.24,1,7,13,15,10,44,61,-17,1.42,1
Primera Division,Deportivo de La Coruña,2009,10,13,8,17,35,49,-14,1.24,1,2,18,10,13,15,31,47,-16,1.13,2,18,10,13,15,31,47,-16,1.13,2
Primera Division,RCD Espanyol Barcelona,2009,11,11,11,16,29,46,-17,1.16,1,1,8,15,4,19,46,55,-9,1.29,1,14,12,10,16,46,56,-10,1.21,1
Primera Division,Real Zaragoza,2009,14,10,11,17,46,64,-18,1.08,1,1,13,12,9,17,40,53,-13,1.18,2,16,12,7,19,36,61,-25,1.13,2
Primera Division,UD Almería,2009,13,10,12,16,43,55,-12,1.11,1,2,20,6,12,20,36,70,-34,0.79,2,20,6,12,20,36,70,-34,0.79,2
Primera Division,Villarreal CF,2009,7,16,8,14,58,57,1,1.47,1,0,4,18,8,12,54,44,10,1.63,2,18,9,14,15,39,53,-14,1.08,2
Primera Division,CD Tenerife,2009,19,9,9,20,40,74,-34,0.95,2,2,19,9,9,20,40,74,-34,0.95,2,19,9,9,20,40,74,-34,0.95,2
Primera Division,Málaga CF,2009,17,7,16,15,42,48,-6,0.97,2,1,11,13,7,18,54,68,-14,1.21,0,4,17,7,14,54,53,1,1.53,0
