league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_3_years_future,Rk_3_years_future,W_3_years_future,D_3_years_future,L_3_years_future,GF_3_years_future,GA_3_years_future,GD_3_years_future,Pts/MP_3_years_future,PF_4_years_future,Rk_4_years_future,W_4_years_future,D_4_years_future,L_4_years_future,GF_4_years_future,GA_4_years_future,GD_4_years_future,Pts/MP_4_years_future,PF_next_5_years
Primera Division,Getafe CF,2009,6,17,7,14,58,48,10,1.53,0,2.0,16.0,12.0,8.0,18.0,49.0,60.0,-11.0,1.16,1.0,11.0,12.0,11.0,15.0,40.0,51.0,-11.0,1.24,1.0,10.0,13.0,8.0,17.0,43.0,57.0,-14.0,1.24,1.0,13.0,11.0,9.0,18.0,35.0,54.0,-19.0,1.11,2.0
Primera Division,Valencia CF,2009,3,21,8,9,59,40,19,1.87,0,0.0,3.0,21.0,8.0,9.0,64.0,44.0,20.0,1.87,0.0,3.0,17.0,10.0,11.0,59.0,44.0,15.0,1.61,0.0,5.0,19.0,8.0,11.0,67.0,54.0,13.0,1.71,1.0,8.0,13.0,10.0,15.0,51.0,53.0,-2.0,1.29,0.0
Primera Division,Real Madrid,2009,2,31,3,4,102,35,67,2.53,0,0.0,2.0,29.0,5.0,4.0,102.0,33.0,69.0,2.42,0.0,1.0,32.0,4.0,2.0,121.0,32.0,89.0,2.63,0.0,2.0,26.0,7.0,5.0,103.0,42.0,61.0,2.24,0.0,3.0,27.0,6.0,5.0,104.0,38.0,66.0,2.29,0.0
Primera Division,Sevilla FC,2009,4,19,6,13,65,49,16,1.66,0,0.0,5.0,17.0,7.0,14.0,62.0,61.0,1.0,1.53,1.0,9.0,13.0,11.0,14.0,48.0,47.0,1.0,1.32,1.0,9.0,14.0,8.0,16.0,58.0,54.0,4.0,1.32,0.0,5.0,18.0,9.0,11.0,69.0,52.0,17.0,1.66,0.0
Primera Division,RCD Mallorca,2009,5,18,8,12,59,44,15,1.63,0,2.0,17.0,12.0,8.0,18.0,41.0,56.0,-15.0,1.16,1.0,8.0,14.0,10.0,14.0,42.0,46.0,-4.0,1.37,2.0,18.0,9.0,9.0,20.0,43.0,72.0,-29.0,0.95,0.0,5.0,18.0,8.0,12.0,59.0,44.0,15.0,1.63,0.0
Primera Division,FC Barcelona,2009,1,31,6,1,98,24,74,2.61,0,0.0,1.0,30.0,6.0,2.0,95.0,21.0,74.0,2.53,0.0,2.0,28.0,7.0,3.0,114.0,29.0,85.0,2.39,0.0,1.0,32.0,4.0,2.0,115.0,40.0,75.0,2.63,0.0,2.0,27.0,6.0,5.0,100.0,33.0,67.0,2.29,0.0
Primera Division,UD Almería,2009,13,10,12,16,43,55,-12,1.11,1,2.0,20.0,6.0,12.0,20.0,36.0,70.0,-34.0,0.79,1.0,13.0,10.0,12.0,16.0,43.0,55.0,-12.0,1.11,1.0,13.0,10.0,12.0,16.0,43.0,55.0,-12.0,1.11,2.0,17.0,11.0,7.0,20.0,43.0,71.0,-28.0,1.05,2.0
Primera Division,Villarreal CF,2009,7,16,8,14,58,57,1,1.47,1,0.0,4.0,18.0,8.0,12.0,54.0,44.0,10.0,1.63,2.0,18.0,9.0,14.0,15.0,39.0,53.0,-14.0,1.08,1.0,7.0,16.0,8.0,14.0,58.0,57.0,1.0,1.47,0.0,6.0,17.0,8.0,13.0,60.0,44.0,16.0,1.55,0.0
Primera Division,Deportivo de La Coruña,2009,10,13,8,17,35,49,-14,1.24,1,2.0,18.0,10.0,13.0,15.0,31.0,47.0,-16.0,1.13,1.0,10.0,13.0,8.0,17.0,35.0,49.0,-14.0,1.24,2.0,19.0,8.0,11.0,19.0,47.0,70.0,-23.0,0.92,1.0,10.0,13.0,8.0,17.0,35.0,49.0,-14.0,1.24,2.0
Primera Division,RCD Espanyol Barcelona,2009,11,11,11,16,29,46,-17,1.16,1,1.0,8.0,15.0,4.0,19.0,46.0,55.0,-9.0,1.29,1.0,14.0,12.0,10.0,16.0,46.0,56.0,-10.0,1.21,1.0,13.0,11.0,11.0,16.0,43.0,52.0,-9.0,1.16,1.0,14.0,11.0,9.0,18.0,41.0,51.0,-10.0,1.11,1.0
Primera Division,Athletic Bilbao,2009,8,15,9,14,50,53,-3,1.42,1,0.0,6.0,18.0,4.0,16.0,59.0,55.0,4.0,1.53,1.0,10.0,12.0,13.0,13.0,49.0,52.0,-3.0,1.29,1.0,12.0,12.0,9.0,17.0,44.0,65.0,-21.0,1.18,0.0,4.0,20.0,10.0,8.0,66.0,39.0,27.0,1.84,1.0
Primera Division,CA Osasuna,2009,12,11,10,17,37,46,-9,1.13,1,1.0,9.0,13.0,8.0,17.0,45.0,46.0,-1.0,1.24,1.0,7.0,13.0,15.0,10.0,44.0,61.0,-17.0,1.42,2.0,16.0,10.0,9.0,19.0,33.0,50.0,-17.0,1.03,2.0,18.0,10.0,9.0,19.0,32.0,62.0,-30.0,1.03,1.0
Primera Division,Real Zaragoza,2009,14,10,11,17,46,64,-18,1.08,1,1.0,13.0,12.0,9.0,17.0,40.0,53.0,-13.0,1.18,2.0,16.0,12.0,7.0,19.0,36.0,61.0,-25.0,1.13,2.0,20.0,9.0,7.0,22.0,37.0,62.0,-25.0,0.89,1.0,14.0,10.0,11.0,17.0,46.0,64.0,-18.0,1.08,1.0
Primera Division,Racing Santander,2009,16,9,12,17,42,59,-17,1.03,2,1.0,12.0,12.0,10.0,16.0,41.0,56.0,-15.0,1.21,2.0,20.0,4.0,15.0,19.0,28.0,63.0,-35.0,0.71,2.0,16.0,9.0,12.0,17.0,42.0,59.0,-17.0,1.03,2.0,16.0,9.0,12.0,17.0,42.0,59.0,-17.0,1.03,2.0
Primera Division,Sporting Gijón,2009,15,9,13,16,36,51,-15,1.05,2,1.0,10.0,11.0,14.0,13.0,35.0,42.0,-7.0,1.24,2.0,19.0,10.0,7.0,21.0,42.0,69.0,-27.0,0.97,2.0,15.0,9.0,13.0,16.0,36.0,51.0,-15.0,1.05,2.0,15.0,9.0,13.0,16.0,36.0,51.0,-15.0,1.05,2.0
Primera Division,Málaga CF,2009,17,7,16,15,42,48,-6,0.97,2,1.0,11.0,13.0,7.0,18.0,54.0,68.0,-14.0,1.21,0.0,4.0,17.0,7.0,14.0,54.0,53.0,1.0,1.53,0.0,6.0,16.0,9.0,13.0,53.0,50.0,3.0,1.5,1.0,11.0,12.0,9.0,17.0,39.0,46.0,-7.0,1.18,1.0
Primera Division,CD Tenerife,2009,19,9,9,20,40,74,-34,0.95,2,2.0,19.0,9.0,9.0,20.0,40.0,74.0,-34.0,0.95,2.0,19.0,9.0,9.0,20.0,40.0,74.0,-34.0,0.95,2.0,19.0,9.0,9.0,20.0,40.0,74.0,-34.0,0.95,2.0,19.0,9.0,9.0,20.0,40.0,74.0,-34.0,0.95,2.0
Primera Division,Real Valladolid CF,2009,18,7,15,16,37,62,-25,0.95,2,2.0,18.0,7.0,15.0,16.0,37.0,62.0,-25.0,0.95,2.0,18.0,7.0,15.0,16.0,37.0,62.0,-25.0,0.95,1.0,14.0,11.0,10.0,17.0,49.0,58.0,-9.0,1.13,2.0,19.0,7.0,15.0,16.0,38.0,60.0,-22.0,0.95,2.0
Primera Division,Xerez CD,2009,20,8,10,20,38,66,-28,0.89,2,2.0,20.0,8.0,10.0,20.0,38.0,66.0,-28.0,0.89,2.0,20.0,8.0,10.0,20.0,38.0,66.0,-28.0,0.89,2.0,20.0,8.0,10.0,20.0,38.0,66.0,-28.0,0.89,2.0,20.0,8.0,10.0,20.0,38.0,66.0,-28.0,0.89,2.0
Primera Division,Villarreal CF,2010,4,18,8,12,54,44,10,1.63,0,2.0,18.0,9.0,14.0,15.0,39.0,53.0,-14.0,1.08,0.0,4.0,18.0,8.0,12.0,54.0,44.0,10.0,1.63,0.0,6.0,17.0,8.0,13.0,60.0,44.0,16.0,1.55,0.0,6.0,16.0,12.0,10.0,48.0,37.0,11.0,1.58,0.0
Primera Division,Valencia CF,2010,3,21,8,9,64,44,20,1.87,0,0.0,3.0,17.0,10.0,11.0,59.0,44.0,15.0,1.61,0.0,5.0,19.0,8.0,11.0,67.0,54.0,13.0,1.71,1.0,8.0,13.0,10.0,15.0,51.0,53.0,-2.0,1.29,0.0,4.0,22.0,11.0,5.0,70.0,32.0,38.0,2.03,1.0
Primera Division,Real Madrid,2010,2,29,5,4,102,33,69,2.42,0,0.0,1.0,32.0,4.0,2.0,121.0,32.0,89.0,2.63,0.0,2.0,26.0,7.0,5.0,103.0,42.0,61.0,2.24,0.0,3.0,27.0,6.0,5.0,104.0,38.0,66.0,2.29,0.0,2.0,30.0,2.0,6.0,118.0,38.0,80.0,2.42,0.0
Primera Division,Sevilla FC,2010,5,17,7,14,62,61,1,1.53,0,1.0,9.0,13.0,11.0,14.0,48.0,47.0,1.0,1.32,1.0,9.0,14.0,8.0,16.0,58.0,54.0,4.0,1.32,0.0,5.0,18.0,9.0,11.0,69.0,52.0,17.0,1.66,0.0,5.0,23.0,7.0,8.0,71.0,45.0,26.0,2.0,1.0
Primera Division,FC Barcelona,2010,1,30,6,2,95,21,74,2.53,0,0.0,2.0,28.0,7.0,3.0,114.0,29.0,85.0,2.39,0.0,1.0,32.0,4.0,2.0,115.0,40.0,75.0,2.63,0.0,2.0,27.0,6.0,5.0,100.0,33.0,67.0,2.29,0.0,1.0,30.0,4.0,4.0,110.0,21.0,89.0,2.47,0.0
Primera Division,Athletic Bilbao,2010,6,18,4,16,59,55,4,1.53,0,1.0,10.0,12.0,13.0,13.0,49.0,52.0,-3.0,1.29,1.0,12.0,12.0,9.0,17.0,44.0,65.0,-21.0,1.18,0.0,4.0,20.0,10.0,8.0,66.0,39.0,27.0,1.84,1.0,7.0,15.0,10.0,13.0,42.0,41.0,1.0,1.45,0.0
Primera Division,RCD Espanyol Barcelona,2010,8,15,4,19,46,55,-9,1.29,1,1.0,14.0,12.0,10.0,16.0,46.0,56.0,-10.0,1.21,1.0,13.0,11.0,11.0,16.0,43.0,52.0,-9.0,1.16,1.0,14.0,11.0,9.0,18.0,41.0,51.0,-10.0,1.11,1.0,10.0,13.0,10.0,15.0,47.0,51.0,-4.0,1.29,1.0
Primera Division,Levante UD,2010,14,12,9,17,41,52,-11,1.18,1,0.0,6.0,16.0,7.0,15.0,54.0,50.0,4.0,1.45,1.0,11.0,12.0,10.0,16.0,40.0,57.0,-17.0,1.21,1.0,10.0,12.0,12.0,14.0,35.0,43.0,-8.0,1.26,1.0,14.0,9.0,10.0,19.0,34.0,67.0,-33.0,0.97,2.0
Primera Division,Sporting Gijón,2010,10,11,14,13,35,42,-7,1.24,1,2.0,19.0,10.0,7.0,21.0,42.0,69.0,-27.0,0.97,1.0,10.0,11.0,14.0,13.0,35.0,42.0,-7.0,1.24,1.0,10.0,11.0,14.0,13.0,35.0,42.0,-7.0,1.24,1.0,10.0,11.0,14.0,13.0,35.0,42.0,-7.0,1.24,2.0
Primera Division,Málaga CF,2010,11,13,7,18,54,68,-14,1.21,1,0.0,4.0,17.0,7.0,14.0,54.0,53.0,1.0,1.53,0.0,6.0,16.0,9.0,13.0,53.0,50.0,3.0,1.5,1.0,11.0,12.0,9.0,17.0,39.0,46.0,-7.0,1.18,1.0,9.0,14.0,8.0,16.0,42.0,48.0,-6.0,1.32,1.0
Primera Division,Racing Santander,2010,12,12,10,16,41,56,-15,1.21,1,2.0,20.0,4.0,15.0,19.0,28.0,63.0,-35.0,0.71,1.0,12.0,12.0,10.0,16.0,41.0,56.0,-15.0,1.21,1.0,12.0,12.0,10.0,16.0,41.0,56.0,-15.0,1.21,1.0,12.0,12.0,10.0,16.0,41.0,56.0,-15.0,1.21,1.0
Primera Division,CA Osasuna,2010,9,13,8,17,45,46,-1,1.24,1,1.0,7.0,13.0,15.0,10.0,44.0,61.0,-17.0,1.42,2.0,16.0,10.0,9.0,19.0,33.0,50.0,-17.0,1.03,2.0,18.0,10.0,9.0,19.0,32.0,62.0,-30.0,1.03,1.0,9.0,13.0,8.0,17.0,45.0,46.0,-1.0,1.24,1.0
Primera Division,Real Zaragoza,2010,13,12,9,17,40,53,-13,1.18,1,2.0,16.0,12.0,7.0,19.0,36.0,61.0,-25.0,1.13,2.0,20.0,9.0,7.0,22.0,37.0,62.0,-25.0,0.89,1.0,13.0,12.0,9.0,17.0,40.0,53.0,-13.0,1.18,1.0,13.0,12.0,9.0,17.0,40.0,53.0,-13.0,1.18,1.0
Primera Division,Hércules CF,2010,19,9,8,21,36,60,-24,0.92,2,2.0,19.0,9.0,8.0,21.0,36.0,60.0,-24.0,0.92,2.0,19.0,9.0,8.0,21.0,36.0,60.0,-24.0,0.92,2.0,19.0,9.0,8.0,21.0,36.0,60.0,-24.0,0.92,2.0,19.0,9.0,8.0,21.0,36.0,60.0,-24.0,0.92,2.0
Primera Division,Getafe CF,2010,16,12,8,18,49,60,-11,1.16,2,1.0,11.0,12.0,11.0,15.0,40.0,51.0,-11.0,1.24,1.0,10.0,13.0,8.0,17.0,43.0,57.0,-14.0,1.24,1.0,13.0,11.0,9.0,18.0,35.0,54.0,-19.0,1.11,2.0,15.0,10.0,7.0,21.0,33.0,64.0,-31.0,0.97,2.0
Primera Division,UD Almería,2010,20,6,12,20,36,70,-34,0.79,2,2.0,20.0,6.0,12.0,20.0,36.0,70.0,-34.0,0.79,2.0,20.0,6.0,12.0,20.0,36.0,70.0,-34.0,0.79,2.0,17.0,11.0,7.0,20.0,43.0,71.0,-28.0,1.05,2.0,19.0,8.0,8.0,22.0,35.0,64.0,-29.0,0.76,2.0
Primera Division,Deportivo de La Coruña,2010,18,10,13,15,31,47,-16,1.13,2,2.0,18.0,10.0,13.0,15.0,31.0,47.0,-16.0,1.13,2.0,19.0,8.0,11.0,19.0,47.0,70.0,-23.0,0.92,2.0,18.0,10.0,13.0,15.0,31.0,47.0,-16.0,1.13,2.0,16.0,7.0,14.0,17.0,35.0,60.0,-25.0,0.92,2.0
Primera Division,Real Sociedad,2010,15,14,3,21,49,66,-17,1.18,2,1.0,12.0,12.0,11.0,15.0,46.0,52.0,-6.0,1.24,0.0,4.0,18.0,12.0,8.0,70.0,49.0,21.0,1.74,1.0,7.0,16.0,11.0,11.0,62.0,55.0,7.0,1.55,1.0,12.0,11.0,13.0,14.0,44.0,51.0,-7.0,1.21,1.0
Primera Division,RCD Mallorca,2010,17,12,8,18,41,56,-15,1.16,2,1.0,8.0,14.0,10.0,14.0,42.0,46.0,-4.0,1.37,2.0,18.0,9.0,9.0,20.0,43.0,72.0,-29.0,0.95,2.0,17.0,12.0,8.0,18.0,41.0,56.0,-15.0,1.16,2.0,17.0,12.0,8.0,18.0,41.0,56.0,-15.0,1.16,2.0
Primera Division,Levante UD,2011,6,16,7,15,54,50,4,1.45,0,1.0,11.0,12.0,10.0,16.0,40.0,57.0,-17.0,1.21,1.0,10.0,12.0,12.0,14.0,35.0,43.0,-8.0,1.26,1.0,14.0,9.0,10.0,19.0,34.0,67.0,-33.0,0.97,2.0,20.0,8.0,8.0,22.0,37.0,70.0,-33.0,0.84,0.0
Primera Division,Málaga CF,2011,4,17,7,14,54,53,1,1.53,0,0.0,6.0,16.0,9.0,13.0,53.0,50.0,3.0,1.5,1.0,11.0,12.0,9.0,17.0,39.0,46.0,-7.0,1.18,1.0,9.0,14.0,8.0,16.0,42.0,48.0,-6.0,1.32,1.0,8.0,12.0,12.0,14.0,38.0,35.0,3.0,1.26,1.0
Primera Division,Valencia CF,2011,3,17,10,11,59,44,15,1.61,0,0.0,5.0,19.0,8.0,11.0,67.0,54.0,13.0,1.71,1.0,8.0,13.0,10.0,15.0,51.0,53.0,-2.0,1.29,0.0,4.0,22.0,11.0,5.0,70.0,32.0,38.0,2.03,1.0,12.0,11.0,11.0,16.0,46.0,48.0,-2.0,1.16,1.0
