league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_3_years_future,Rk_3_years_future,W_3_years_future,D_3_years_future,L_3_years_future,GF_3_years_future,GA_3_years_future,GD_3_years_future,Pts/MP_3_years_future,PF_4_years_future,Rk_4_years_future,W_4_years_future,D_4_years_future,L_4_years_future,GF_4_years_future,GA_4_years_future,GD_4_years_future,Pts/MP_4_years_future,PF_next_5_years
Serie A,FC Internazionale,2009,1,24,10,4,75,34,41,2.16,0,0.0,2.0,23.0,7.0,8.0,69.0,42.0,27.0,2.0,0.0,6.0,17.0,7.0,14.0,58.0,55.0,3.0,1.53,1.0,9.0,16.0,6.0,16.0,55.0,57.0,-2.0,1.42,0.0,5.0,15.0,15.0,8.0,62.0,39.0,23.0,1.58,1.0
Serie A,AS Roma,2009,2,24,8,6,68,41,27,2.11,0,0.0,6.0,18.0,9.0,11.0,59.0,52.0,7.0,1.66,1.0,7.0,16.0,8.0,14.0,60.0,54.0,6.0,1.47,0.0,6.0,18.0,8.0,12.0,71.0,56.0,15.0,1.63,0.0,2.0,26.0,7.0,5.0,72.0,25.0,47.0,2.24,0.0
Serie A,AC Milan,2009,3,20,10,8,60,39,21,1.84,0,0.0,1.0,24.0,10.0,4.0,65.0,24.0,41.0,2.16,0.0,2.0,24.0,8.0,6.0,74.0,33.0,41.0,2.11,0.0,3.0,21.0,9.0,8.0,67.0,39.0,28.0,1.89,1.0,8.0,16.0,9.0,13.0,57.0,49.0,8.0,1.5,1.0
Serie A,UC Sampdoria,2009,4,19,10,9,49,41,8,1.76,0,2.0,18.0,8.0,12.0,18.0,33.0,49.0,-16.0,0.95,0.0,4.0,19.0,10.0,9.0,49.0,41.0,8.0,1.76,1.0,14.0,11.0,10.0,17.0,43.0,51.0,-8.0,1.11,1.0,12.0,12.0,9.0,17.0,48.0,62.0,-14.0,1.18,1.0
Serie A,US Palermo,2009,5,18,11,9,59,47,12,1.71,0,1.0,8.0,17.0,5.0,16.0,58.0,63.0,-5.0,1.47,2.0,16.0,11.0,10.0,17.0,52.0,62.0,-10.0,1.13,2.0,18.0,6.0,14.0,18.0,34.0,54.0,-20.0,0.84,0.0,5.0,18.0,11.0,9.0,59.0,47.0,12.0,1.71,1.0
Serie A,SSC Napoli,2009,6,15,14,9,50,43,7,1.55,0,0.0,3.0,21.0,7.0,10.0,59.0,39.0,20.0,1.84,0.0,5.0,16.0,13.0,9.0,66.0,46.0,20.0,1.61,0.0,2.0,23.0,9.0,6.0,73.0,36.0,37.0,2.05,0.0,3.0,23.0,9.0,6.0,77.0,39.0,38.0,2.05,0.0
Serie A,Juventus FC,2009,7,16,7,15,55,56,-1,1.45,1,1.0,7.0,15.0,13.0,10.0,57.0,47.0,10.0,1.53,0.0,1.0,23.0,15.0,0.0,68.0,20.0,48.0,2.21,0.0,1.0,27.0,6.0,5.0,71.0,24.0,47.0,2.29,0.0,1.0,33.0,3.0,2.0,80.0,23.0,57.0,2.68,0.0
Serie A,Parma Calcio 1913,2009,8,14,10,14,46,51,-5,1.37,1,1.0,12.0,11.0,13.0,14.0,39.0,47.0,-8.0,1.21,1.0,8.0,15.0,11.0,12.0,54.0,53.0,1.0,1.47,1.0,10.0,13.0,10.0,15.0,45.0,46.0,-1.0,1.29,0.0,6.0,15.0,13.0,10.0,58.0,46.0,12.0,1.53,2.0
Serie A,Genoa CFC,2009,9,14,9,15,57,61,-4,1.34,1,1.0,10.0,14.0,9.0,15.0,45.0,47.0,-2.0,1.34,2.0,17.0,11.0,9.0,18.0,50.0,69.0,-19.0,1.11,2.0,17.0,8.0,14.0,16.0,38.0,52.0,-14.0,1.0,1.0,14.0,11.0,11.0,16.0,41.0,50.0,-9.0,1.16,0.0
Serie A,AS Bari,2009,10,13,11,14,49,49,0,1.32,1,2.0,20.0,5.0,9.0,24.0,27.0,56.0,-29.0,0.63,1.0,10.0,13.0,11.0,14.0,49.0,49.0,0.0,1.32,1.0,10.0,13.0,11.0,14.0,49.0,49.0,0.0,1.32,1.0,10.0,13.0,11.0,14.0,49.0,49.0,0.0,1.32,1.0
Serie A,ACF Fiorentina,2009,11,13,8,17,48,47,1,1.24,1,1.0,9.0,12.0,15.0,11.0,49.0,44.0,5.0,1.34,1.0,13.0,11.0,13.0,14.0,37.0,43.0,-6.0,1.21,0.0,4.0,21.0,7.0,10.0,72.0,44.0,28.0,1.84,0.0,4.0,19.0,8.0,11.0,65.0,44.0,21.0,1.71,0.0
Serie A,SS Lazio,2009,12,11,13,14,39,43,-4,1.21,1,0.0,5.0,20.0,6.0,12.0,55.0,39.0,16.0,1.74,0.0,4.0,18.0,8.0,12.0,56.0,47.0,9.0,1.63,1.0,7.0,18.0,7.0,13.0,51.0,42.0,9.0,1.61,1.0,9.0,15.0,11.0,12.0,54.0,54.0,0.0,1.47,0.0
Serie A,Catania SSD,2009,13,10,15,13,44,45,-1,1.18,1,1.0,13.0,12.0,10.0,16.0,40.0,52.0,-12.0,1.21,1.0,11.0,11.0,15.0,12.0,47.0,52.0,-5.0,1.26,1.0,8.0,15.0,11.0,12.0,50.0,46.0,4.0,1.47,2.0,18.0,8.0,8.0,22.0,34.0,66.0,-32.0,0.84,1.0
Serie A,Chievo Verona,2009,14,12,8,18,37,42,-5,1.16,1,1.0,11.0,11.0,13.0,14.0,38.0,40.0,-2.0,1.21,1.0,10.0,12.0,13.0,13.0,35.0,45.0,-10.0,1.29,1.0,12.0,12.0,9.0,17.0,37.0,52.0,-15.0,1.18,2.0,16.0,10.0,6.0,22.0,34.0,54.0,-20.0,0.95,1.0
Serie A,Atalanta BC,2009,18,9,8,21,37,53,-16,0.92,2,2.0,18.0,9.0,8.0,21.0,37.0,53.0,-16.0,0.92,1.0,12.0,13.0,13.0,12.0,41.0,43.0,-2.0,1.21,2.0,15.0,11.0,9.0,18.0,39.0,56.0,-17.0,1.05,1.0,11.0,15.0,5.0,18.0,43.0,51.0,-8.0,1.32,2.0
Serie A,AC Siena,2009,19,7,10,21,40,67,-27,0.82,2,2.0,19.0,7.0,10.0,21.0,40.0,67.0,-27.0,0.82,1.0,14.0,11.0,11.0,16.0,45.0,45.0,0.0,1.16,2.0,19.0,9.0,9.0,20.0,36.0,57.0,-21.0,0.79,2.0,19.0,7.0,10.0,21.0,40.0,67.0,-27.0,0.82,2.0
Serie A,Udinese Calcio,2009,15,11,11,16,54,59,-5,1.16,2,0.0,4.0,20.0,6.0,12.0,65.0,43.0,22.0,1.74,0.0,3.0,18.0,10.0,10.0,52.0,35.0,17.0,1.68,0.0,5.0,18.0,12.0,8.0,59.0,45.0,14.0,1.74,1.0,13.0,12.0,8.0,18.0,46.0,57.0,-11.0,1.16,2.0
Serie A,Cagliari Calcio,2009,16,11,11,16,56,58,-2,1.16,2,1.0,14.0,12.0,9.0,17.0,44.0,51.0,-7.0,1.18,2.0,15.0,10.0,13.0,15.0,37.0,46.0,-9.0,1.13,1.0,11.0,12.0,11.0,15.0,43.0,55.0,-12.0,1.24,2.0,15.0,9.0,12.0,17.0,34.0,53.0,-19.0,1.03,2.0
Serie A,Bologna FC 1909,2009,17,10,12,16,42,55,-13,1.11,2,2.0,16.0,11.0,12.0,15.0,35.0,52.0,-17.0,1.11,1.0,9.0,13.0,12.0,13.0,41.0,43.0,-2.0,1.34,1.0,13.0,11.0,11.0,16.0,46.0,52.0,-6.0,1.16,2.0,19.0,5.0,14.0,19.0,28.0,58.0,-30.0,0.76,2.0
Serie A,AS Livorno,2009,20,7,8,23,27,61,-34,0.76,2,2.0,20.0,7.0,8.0,23.0,27.0,61.0,-34.0,0.76,2.0,20.0,7.0,8.0,23.0,27.0,61.0,-34.0,0.76,2.0,20.0,7.0,8.0,23.0,27.0,61.0,-34.0,0.76,2.0,20.0,6.0,7.0,25.0,39.0,77.0,-38.0,0.66,2.0
