league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_next_3_years
Premier League,Arsenal FC,2009,3,23,6,9,83,41,42,1.97,0,0,4,19,11,8,72,43,29,1.79,0,3,21,7,10,74,49,25,1.84,0
Premier League,Aston Villa,2009,6,17,13,8,52,39,13,1.68,0,1,9,12,12,14,48,59,-11,1.26,2,16,7,17,14,37,53,-16,1.0,2
Premier League,Chelsea FC,2009,1,27,5,6,103,32,71,2.26,0,0,2,21,8,9,69,33,36,1.87,0,6,18,10,10,65,46,19,1.68,0
Premier League,Manchester City,2009,5,18,13,7,73,45,28,1.76,0,0,3,21,8,9,60,33,27,1.87,0,1,28,5,5,93,29,64,2.34,0
Premier League,Manchester United,2009,2,27,4,7,86,28,58,2.24,0,0,1,23,11,4,78,37,41,2.11,0,2,28,5,5,89,33,56,2.34,0
Premier League,Tottenham Hotspur,2009,4,21,7,10,67,41,26,1.84,0,0,5,16,14,8,55,46,9,1.63,0,4,20,9,9,66,41,25,1.82,0
Premier League,Everton FC,2009,8,16,13,9,60,49,11,1.61,1,1,7,13,15,10,51,45,6,1.42,1,7,15,11,12,50,40,10,1.47,0
Premier League,Fulham FC,2009,12,12,10,16,39,46,-7,1.21,1,1,8,11,16,11,49,43,6,1.29,1,9,14,10,14,48,51,-3,1.37,1
Premier League,Liverpool FC,2009,7,18,9,11,61,35,26,1.66,1,0,6,17,7,14,59,44,15,1.53,1,8,14,10,14,47,40,7,1.37,1
Premier League,Stoke City,2009,11,11,14,13,34,48,-14,1.24,1,1,13,13,7,18,46,48,-2,1.21,1,14,11,12,15,36,53,-17,1.18,1
Premier League,Sunderland AFC,2009,13,11,11,16,48,56,-8,1.16,1,1,10,12,11,15,45,56,-11,1.24,1,13,11,12,15,45,46,-1,1.18,2
Premier League,Wigan Athletic,2009,16,9,9,20,37,79,-42,0.95,2,2,16,9,15,14,40,61,-21,1.11,2,15,11,10,17,42,62,-20,1.13,2
Premier League,Arsenal FC,2010,4,19,11,8,72,43,29,1.79,0,0,3,21,7,10,74,49,25,1.84,0,4,21,10,7,72,37,35,1.92,0
Premier League,Chelsea FC,2010,2,21,8,9,69,33,36,1.87,0,0,6,18,10,10,65,46,19,1.68,0,3,22,9,7,75,39,36,1.97,0
Premier League,Liverpool FC,2010,6,17,7,14,59,44,15,1.53,0,1,8,14,10,14,47,40,7,1.37,1,7,16,13,9,71,43,28,1.61,0
Premier League,Manchester City,2010,3,21,8,9,60,33,27,1.87,0,0,1,28,5,5,93,29,64,2.34,0,2,23,9,6,66,34,32,2.05,0
Premier League,Manchester United,2010,1,23,11,4,78,37,41,2.11,0,0,2,28,5,5,89,33,56,2.34,0,1,28,5,5,86,43,43,2.34,1
Premier League,Tottenham Hotspur,2010,5,16,14,8,55,46,9,1.63,0,0,4,20,9,9,66,41,25,1.82,0,5,21,9,8,66,46,20,1.89,0
Premier League,Aston Villa,2010,9,12,12,14,48,59,-11,1.26,1,2,16,7,17,14,37,53,-16,1.0,2,15,10,11,17,47,69,-22,1.08,2
Premier League,Everton FC,2010,7,13,15,10,51,45,6,1.42,1,1,7,15,11,12,50,40,10,1.47,0,6,16,15,7,55,40,15,1.66,0
Premier League,Fulham FC,2010,8,11,16,11,49,43,6,1.29,1,1,9,14,10,14,48,51,-3,1.37,1,12,11,10,17,50,60,-10,1.13,2
Premier League,Newcastle United,2010,12,11,13,14,56,57,-1,1.21,1,0,5,19,8,11,56,51,5,1.71,2,16,11,8,19,45,68,-23,1.08,1
Premier League,Stoke City,2010,13,13,7,18,46,48,-2,1.21,1,1,14,11,12,15,36,53,-17,1.18,1,13,9,15,14,34,45,-11,1.11,1
Premier League,Sunderland AFC,2010,10,12,11,15,45,56,-11,1.24,1,1,13,11,12,15,45,46,-1,1.18,2,17,9,12,17,41,54,-13,1.03,1
Premier League,West Bromwich Albion,2010,11,12,11,15,56,71,-15,1.24,1,1,10,13,8,17,45,52,-7,1.24,1,8,14,7,17,53,57,-4,1.29,2
Premier League,Arsenal FC,2011,3,21,7,10,74,49,25,1.84,0,0,4,21,10,7,72,37,35,1.92,0,4,24,7,7,68,41,27,2.08,0
Premier League,Chelsea FC,2011,6,18,10,10,65,46,19,1.68,0,0,3,22,9,7,75,39,36,1.97,0,3,25,7,6,71,27,44,2.16,0
Premier League,Manchester City,2011,1,28,5,5,93,29,64,2.34,0,0,2,23,9,6,66,34,32,2.05,0,1,27,5,6,102,37,65,2.26,0
Premier League,Manchester United,2011,2,28,5,5,89,33,56,2.34,0,0,1,28,5,5,86,43,43,2.34,1,7,19,7,12,64,43,21,1.68,0
Premier League,Newcastle United,2011,5,19,8,11,56,51,5,1.71,0,2,16,11,8,19,45,68,-23,1.08,1,10,15,4,19,43,59,-16,1.29,2
Premier League,Tottenham Hotspur,2011,4,20,9,9,66,41,25,1.82,0,0,5,21,9,8,66,46,20,1.89,0,6,21,6,11,55,51,4,1.82,0
Premier League,Everton FC,2011,7,15,11,12,50,40,10,1.47,1,0,6,16,15,7,55,40,15,1.66,0,5,21,9,8,61,39,22,1.89,1
Premier League,Liverpool FC,2011,8,14,10,14,47,40,7,1.37,1,1,7,16,13,9,71,43,28,1.61,0,2,26,6,6,101,50,51,2.21,0
Premier League,Stoke City,2011,14,11,12,15,36,53,-17,1.18,1,1,13,9,15,14,34,45,-11,1.11,1,9,13,11,14,45,52,-7,1.32,1
Premier League,Sunderland AFC,2011,13,11,12,15,45,46,-1,1.18,1,2,17,9,12,17,41,54,-13,1.03,1,14,10,8,20,41,60,-19,1.0,2
Premier League,Swansea City,2011,11,12,11,15,44,51,-7,1.24,1,1,9,11,13,14,47,51,-4,1.21,1,12,11,9,18,54,54,0,1.11,1
Premier League,West Bromwich Albion,2011,10,13,8,17,45,52,-7,1.24,1,1,8,14,7,17,53,57,-4,1.29,2,17,7,15,16,43,59,-16,0.95,1
Premier League,Aston Villa,2011,16,7,17,14,37,53,-16,1.0,2,2,15,10,11,17,47,69,-22,1.08,2,15,10,8,20,39,61,-22,1.0,2
Premier League,Arsenal FC,2012,4,21,10,7,72,37,35,1.92,0,0,4,24,7,7,68,41,27,2.08,0,3,22,9,7,71,36,35,1.97,0
Premier League,Chelsea FC,2012,3,22,9,7,75,39,36,1.97,0,0,3,25,7,6,71,27,44,2.16,0,1,26,9,3,73,32,41,2.29,1
Premier League,Everton FC,2012,6,16,15,7,55,40,15,1.66,0,0,5,21,9,8,61,39,22,1.89,1,11,12,11,15,48,50,-2,1.24,1
Premier League,Manchester City,2012,2,23,9,6,66,34,32,2.05,0,0,1,27,5,6,102,37,65,2.26,0,2,24,7,7,83,38,45,2.08,0
Premier League,Manchester United,2012,1,28,5,5,86,43,43,2.34,0,1,7,19,7,12,64,43,21,1.68,0,4,20,10,8,62,37,25,1.84,0
Premier League,Tottenham Hotspur,2012,5,21,9,8,66,46,20,1.89,0,0,6,21,6,11,55,51,4,1.82,0,5,19,7,12,58,53,5,1.68,0
Premier League,Liverpool FC,2012,7,16,13,9,71,43,28,1.61,1,0,2,26,6,6,101,50,51,2.21,0,6,18,8,12,52,48,4,1.63,1
Premier League,Southampton FC,2012,14,9,14,15,49,60,-11,1.08,1,1,8,15,11,12,54,46,8,1.47,1,7,18,6,14,54,33,21,1.58,0
Premier League,Stoke City,2012,13,9,15,14,34,45,-11,1.11,1,1,9,13,11,14,45,52,-7,1.32,1,9,15,9,14,48,45,3,1.42,1
Premier League,Swansea City,2012,9,11,13,14,47,51,-4,1.21,1,1,12,11,9,18,54,54,0,1.11,1,8,16,8,14,46,49,-3,1.47,1
Premier League,West Bromwich Albion,2012,8,14,7,17,53,57,-4,1.29,1,2,17,7,15,16,43,59,-16,0.95,1,13,11,11,16,38,51,-13,1.16,1
Premier League,West Ham United,2012,10,12,10,16,45,53,-8,1.21,1,1,13,11,7,20,40,51,-11,1.05,1,12,12,11,15,44,47,-3,1.24,1
Premier League,Aston Villa,2012,15,10,11,17,47,69,-22,1.08,2,2,15,10,8,20,39,61,-22,1.0,2,17,10,8,20,31,57,-26,1.0,2
Premier League,Newcastle United,2012,16,11,8,19,45,68,-23,1.08,2,1,10,15,4,19,43,59,-16,1.29,2,15,10,9,19,40,63,-23,1.03,2
Premier League,Sunderland AFC,2012,17,9,12,17,41,54,-13,1.03,2,1,14,10,8,20,41,60,-19,1.0,2,16,7,17,14,31,53,-22,1.0,2
Premier League,Arsenal FC,2013,4,24,7,7,68,41,27,2.08,0,0,3,22,9,7,71,36,35,1.97,0,2,20,11,7,65,36,29,1.87,0
Premier League,Chelsea FC,2013,3,25,7,6,71,27,44,2.16,0,0,1,26,9,3,73,32,41,2.29,1,10,12,14,12,59,53,6,1.32,0
Premier League,Everton FC,2013,5,21,9,8,61,39,22,1.89,0,1,11,12,11,15,48,50,-2,1.24,1,11,11,14,13,59,55,4,1.24,1
Premier League,Liverpool FC,2013,2,26,6,6,101,50,51,2.21,0,0,6,18,8,12,52,48,4,1.63,1,8,16,12,10,63,50,13,1.58,0
Premier League,Manchester City,2013,1,27,5,6,102,37,65,2.26,0,0,2,24,7,7,83,38,45,2.08,0,4,19,9,10,71,41,30,1.74,0
Premier League,Tottenham Hotspur,2013,6,21,6,11,55,51,4,1.82,0,0,5,19,7,12,58,53,5,1.68,0,3,19,13,6,69,35,34,1.84,0
Premier League,Crystal Palace,2013,11,13,6,19,33,48,-15,1.18,1,1,10,13,9,16,47,51,-4,1.26,2,15,11,9,18,39,51,-12,1.11,1
Premier League,Manchester United,2013,7,19,7,12,64,43,21,1.68,1,0,4,20,10,8,62,37,25,1.84,0,5,19,9,10,49,35,14,1.74,0
Premier League,Southampton FC,2013,8,15,11,12,54,46,8,1.47,1,1,7,18,6,14,54,33,21,1.58,0,6,18,9,11,59,41,18,1.66,1
Premier League,Stoke City,2013,9,13,11,14,45,52,-7,1.32,1,1,9,15,9,14,48,45,3,1.42,1,9,14,9,15,41,55,-14,1.34,1
Premier League,Sunderland AFC,2013,14,10,8,20,41,60,-19,1.0,1,2,16,7,17,14,31,53,-22,1.0,2,17,9,12,17,48,62,-14,1.03,2
Premier League,Swansea City,2013,12,11,9,18,54,54,0,1.11,1,1,8,16,8,14,46,49,-3,1.47,1,12,12,11,15,42,52,-10,1.24,2
Premier League,West Ham United,2013,13,11,7,20,40,51,-11,1.05,1,1,12,12,11,15,44,47,-3,1.24,1,7,16,14,8,65,51,14,1.63,1
Premier League,West Bromwich Albion,2013,17,7,15,16,43,59,-16,0.95,2,1,13,11,11,16,38,51,-13,1.16,1,14,10,13,15,34,48,-14,1.13,1
Premier League,Arsenal FC,2014,3,22,9,7,71,36,35,1.97,0,0,2,20,11,7,65,36,29,1.87,0,5,23,6,9,77,44,33,1.97,0
Premier League,Chelsea FC,2014,1,26,9,3,73,32,41,2.29,0,1,10,12,14,12,59,53,6,1.32,0,1,30,3,5,85,33,52,2.45,0
Premier League,Liverpool FC,2014,6,18,8,12,52,48,4,1.63,0,1,8,16,12,10,63,50,13,1.58,0,4,22,10,6,78,42,36,2.0,0
Premier League,Manchester City,2014,2,24,7,7,83,38,45,2.08,0,0,4,19,9,10,71,41,30,1.74,0,3,23,9,6,80,39,41,2.05,0
Premier League,Manchester United,2014,4,20,10,8,62,37,25,1.84,0,0,5,19,9,10,49,35,14,1.74,0,6,18,15,5,54,29,25,1.82,0
Premier League,Tottenham Hotspur,2014,5,19,7,12,58,53,5,1.68,0,0,3,19,13,6,69,35,34,1.84,0,2,26,8,4,86,26,60,2.26,0
Premier League,Crystal Palace,2014,10,13,9,16,47,51,-4,1.26,1,2,15,11,9,18,39,51,-12,1.11,1,14,12,5,21,50,63,-13,1.08,1
Premier League,Everton FC,2014,11,12,11,15,48,50,-2,1.24,1,1,11,11,14,13,59,55,4,1.24,1,7,17,10,11,62,44,18,1.61,1
Premier League,Leicester City,2014,14,11,8,19,46,55,-9,1.08,1,0,1,23,12,3,68,36,32,2.13,1,12,12,8,18,48,63,-15,1.16,1
Premier League,Southampton FC,2014,7,18,6,14,54,33,21,1.58,1,0,6,18,9,11,59,41,18,1.66,1,8,12,10,16,41,48,-7,1.21,2
Premier League,Stoke City,2014,9,15,9,14,48,45,3,1.42,1,1,9,14,9,15,41,55,-14,1.34,1,13,11,11,16,41,56,-15,1.16,2
Premier League,Swansea City,2014,8,16,8,14,46,49,-3,1.47,1,1,12,12,11,15,42,52,-10,1.24,2,15,12,5,21,45,70,-25,1.08,2
Premier League,West Bromwich Albion,2014,13,11,11,16,38,51,-13,1.16,1,1,14,10,13,15,34,48,-14,1.13,1,10,12,9,17,43,51,-8,1.18,2
Premier League,West Ham United,2014,12,12,11,15,44,47,-3,1.24,1,1,7,16,14,8,65,51,14,1.63,1,11,12,9,17,47,64,-17,1.18,1
Premier League,Arsenal FC,2015,2,20,11,7,65,36,29,1.87,0,0,5,23,6,9,77,44,33,1.97,0,6,19,6,13,74,51,23,1.66,0
Premier League,Leicester City,2015,1,23,12,3,68,36,32,2.13,0,1,12,12,8,18,48,63,-15,1.16,1,9,12,11,15,56,60,-4,1.24,1
Premier League,Manchester City,2015,4,19,9,10,71,41,30,1.74,0,0,3,23,9,6,80,39,41,2.05,0,1,32,4,2,106,27,79,2.63,0
Premier League,Manchester United,2015,5,19,9,10,49,35,14,1.74,0,0,6,18,15,5,54,29,25,1.82,0,2,25,6,7,68,28,40,2.13,0
Premier League,Southampton FC,2015,6,18,9,11,59,41,18,1.66,0,1,8,12,10,16,41,48,-7,1.21,2,17,7,15,16,37,56,-19,0.95,2
Premier League,Tottenham Hotspur,2015,3,19,13,6,69,35,34,1.84,0,0,2,26,8,4,86,26,60,2.26,0,3,23,8,7,74,36,38,2.03,0
Premier League,Chelsea FC,2015,10,12,14,12,59,53,6,1.32,1,0,1,30,3,5,85,33,52,2.45,0,5,21,7,10,62,38,24,1.84,0
Premier League,Everton FC,2015,11,11,14,13,59,55,4,1.24,1,1,7,17,10,11,62,44,18,1.61,1,8,13,10,15,44,58,-14,1.29,1
Premier League,Liverpool FC,2015,8,16,12,10,63,50,13,1.58,1,0,4,22,10,6,78,42,36,2.0,0,4,21,12,5,84,38,46,1.97,0
