league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,total_fee_in_1_years_future,mean_fee_in_1_years_future,mean_age_in_1_years_future,total_fee_in_GK_1_years_future,mean_fee_in_GK_1_years_future,mean_age_in_GK_1_years_future,count_GK_in_1_years_future,total_fee_in_DEF_1_years_future,mean_fee_in_DEF_1_years_future,mean_age_in_DEF_1_years_future,count_DEF_in_1_years_future,total_fee_in_MID_1_years_future,mean_fee_in_MID_1_years_future,mean_age_in_MID_1_years_future,count_MID_in_1_years_future,total_fee_in_STK_1_years_future,mean_fee_in_STK_1_years_future,mean_age_in_STK_1_years_future,count_STK_in_1_years_future,total_fee_out_1_years_future,mean_fee_out_1_years_future,mean_age_out_1_years_future,total_fee_out_GK_1_years_future,mean_fee_out_GK_1_years_future,mean_age_out_GK_1_years_future,count_GK_out_1_years_future,total_fee_out_DEF_1_years_future,mean_fee_out_DEF_1_years_future,mean_age_out_DEF_1_years_future,count_DEF_out_1_years_future,total_fee_out_MID_1_years_future,mean_fee_out_MID_1_years_future,mean_age_out_MID_1_years_future,count_MID_out_1_years_future,total_fee_out_STK_1_years_future,mean_fee_out_STK_1_years_future,mean_age_out_STK_1_years_future,count_STK_out_1_years_future,total_fee_in_2_years_future,mean_fee_in_2_years_future,mean_age_in_2_years_future,total_fee_in_GK_2_years_future,mean_fee_in_GK_2_years_future,mean_age_in_GK_2_years_future,count_GK_in_2_years_future,total_fee_in_DEF_2_years_future,mean_fee_in_DEF_2_years_future,mean_age_in_DEF_2_years_future,count_DEF_in_2_years_future,total_fee_in_MID_2_years_future,mean_fee_in_MID_2_years_future,mean_age_in_MID_2_years_future,count_MID_in_2_years_future,total_fee_in_STK_2_years_future,mean_fee_in_STK_2_years_future,mean_age_in_STK_2_years_future,count_STK_in_2_years_future,total_fee_out_2_years_future,mean_fee_out_2_years_future,mean_age_out_2_years_future,total_fee_out_GK_2_years_future,mean_fee_out_GK_2_years_future,mean_age_out_GK_2_years_future,count_GK_out_2_years_future,total_fee_out_DEF_2_years_future,mean_fee_out_DEF_2_years_future,mean_age_out_DEF_2_years_future,count_DEF_out_2_years_future,total_fee_out_MID_2_years_future,mean_fee_out_MID_2_years_future,mean_age_out_MID_2_years_future,count_MID_out_2_years_future,total_fee_out_STK_2_years_future,mean_fee_out_STK_2_years_future,mean_age_out_STK_2_years_future,count_STK_out_2_years_future,total_fee_in_3_years_future,mean_fee_in_3_years_future,mean_age_in_3_years_future,total_fee_in_GK_3_years_future,mean_fee_in_GK_3_years_future,mean_age_in_GK_3_years_future,count_GK_in_3_years_future,total_fee_in_DEF_3_years_future,mean_fee_in_DEF_3_years_future,mean_age_in_DEF_3_years_future,count_DEF_in_3_years_future,total_fee_in_MID_3_years_future,mean_fee_in_MID_3_years_future,mean_age_in_MID_3_years_future,count_MID_in_3_years_future,total_fee_in_STK_3_years_future,mean_fee_in_STK_3_years_future,mean_age_in_STK_3_years_future,count_STK_in_3_years_future,total_fee_out_3_years_future,mean_fee_out_3_years_future,mean_age_out_3_years_future,total_fee_out_GK_3_years_future,mean_fee_out_GK_3_years_future,mean_age_out_GK_3_years_future,count_GK_out_3_years_future,total_fee_out_DEF_3_years_future,mean_fee_out_DEF_3_years_future,mean_age_out_DEF_3_years_future,count_DEF_out_3_years_future,total_fee_out_MID_3_years_future,mean_fee_out_MID_3_years_future,mean_age_out_MID_3_years_future,count_MID_out_3_years_future,total_fee_out_STK_3_years_future,mean_fee_out_STK_3_years_future,mean_age_out_STK_3_years_future,count_STK_out_3_years_future,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_next_3_years
Serie A,AC Milan,2009,22.1,4.42,22.4,0.0,0.0,0.0,0,3.2,1.6,23.0,2,2.5,2.5,21.0,1,16.4,8.2,22.5,2,80.66,20.165,23.25,0.0,0.0,0.0,0,0.16,0.08,22.0,2,80.5,40.25,24.5,2,0.0,0.0,0.0,0,51.3,5.13,23.4,0.0,0.0,0.0,0,8.5,4.25,21.5,2,7.5,1.875,22.25,4,35.3,8.825,25.5,4,25.931,2.593,23.5,4.5,4.5,33.0,1,1.961,0.654,21.333,3,5.46,1.365,23.0,4,14.01,7.005,23.0,2,65.15,6.515,23.9,3.5,3.5,29.0,1,0.55,0.55,27.0,1,13.55,3.388,22.5,4,47.55,11.888,23.25,4,22.3,5.575,23.25,0.0,0.0,0.0,0,4.0,4.0,23.0,1,6.5,6.5,19.0,1,11.8,5.9,25.5,2,59.62,5.42,23.727,1.17,1.17,19.0,1,10.9,2.725,25.25,4,11.5,5.75,26.0,2,36.05,9.012,22.25,4,88.5,12.643,26.429,0.0,0.0,0.0,0,46.5,15.5,26.0,3,0.5,0.5,24.0,1,41.5,13.833,27.667,3,3,20,10,8,60,39,21,1.84,0,0,1,24,10,4,65,24,41,2.16,0,2,24,8,6,74,33,41,2.11,0
Serie A,AS Roma,2009,3.5,3.5,23.0,0.0,0.0,0.0,0,3.5,3.5,23.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,22.075,4.415,24.2,0.0,0.0,0.0,0,1.2,1.2,22.0,1,20.45,10.225,27.0,2,0.425,0.212,22.5,2,11.2,2.8,26.25,0.8,0.8,32.0,1,10.4,3.467,24.333,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10.651,1.522,23.286,0.0,0.0,0.0,0,2.351,0.784,22.333,3,2.5,2.5,29.0,1,5.8,1.933,22.333,3,91.25,6.518,22.429,7.33,7.33,28.0,1,7.5,3.75,21.5,2,11.78,2.945,23.0,4,64.64,9.234,21.571,7,26.13,6.532,27.5,0.0,0.0,0.0,0,2.63,2.63,30.0,1,0.0,0.0,0.0,0,23.5,7.833,26.667,3,43.82,2.578,22.0,0.35,0.175,21.0,2,19.3,2.412,22.875,8,10.45,2.612,22.0,4,13.72,4.573,20.333,3,21.56,1.658,21.308,0.0,0.0,0.0,0,0.2,0.2,20.0,1,3.55,1.183,21.667,3,17.81,1.979,21.333,9,2,24,8,6,68,41,27,2.11,0,0,6,18,9,11,59,52,7,1.66,1,7,16,8,14,60,54,6,1.47,0
Serie A,FC Internazionale,2009,97.2,13.886,26.429,7.0,7.0,23.0,1,7.0,7.0,31.0,1,35.2,11.733,24.333,3,48.0,24.0,29.0,2,109.1,10.91,22.9,3.5,3.5,23.0,1,10.0,3.333,23.0,3,3.6,1.8,22.5,2,92.0,23.0,23.0,4,38.135,6.356,21.5,0.0,0.0,0.0,0,15.0,7.5,23.0,2,0.75,0.75,19.0,1,22.385,7.462,21.333,3,66.53,6.653,22.6,0.0,0.0,0.0,0,8.0,8.0,29.0,1,7.68,1.92,22.0,4,50.85,10.17,21.8,5,41.6,3.782,24.273,4.1,4.1,25.0,1,13.3,4.433,23.0,3,15.0,3.75,24.75,4,9.2,3.067,24.667,3,55.95,7.993,25.714,8.5,8.5,26.0,1,5.65,5.65,20.0,1,13.0,6.5,26.5,2,28.8,9.6,27.0,3,76.55,5.468,26.643,16.75,5.583,25.0,3,18.3,6.1,25.333,3,25.2,5.04,25.4,5,16.3,5.433,31.667,3,63.301,7.033,23.667,0.0,0.0,0.0,0,11.75,5.875,25.5,2,7.501,3.75,24.0,2,44.05,8.81,22.8,5,1,24,10,4,75,34,41,2.16,0,0,2,23,7,8,69,42,27,2.0,0,6,17,7,14,58,55,3,1.53,1
Serie A,SSC Napoli,2009,55.15,7.879,26.143,1.9,1.9,32.0,1,15.5,7.75,26.0,2,14.75,7.375,25.5,2,23.0,11.5,24.0,2,4.75,1.188,26.75,0.0,0.0,0.0,0,0.5,0.5,29.0,1,4.25,1.417,26.0,3,0.0,0.0,0.0,0,19.8,3.3,24.667,0.0,0.0,0.0,0,9.0,4.5,25.5,2,3.0,3.0,25.0,1,7.8,2.6,24.0,3,12.9,1.612,26.375,0.0,0.0,0.0,0,2.9,1.45,28.5,2,3.15,1.05,25.333,3,6.85,2.283,26.0,3,72.7,7.27,24.7,2.9,2.9,28.0,1,14.5,4.833,23.0,3,27.0,13.5,26.0,2,28.3,7.075,24.5,4,23.79,2.379,25.4,0.0,0.0,0.0,0,8.39,2.097,22.0,4,4.65,1.162,28.5,4,10.75,5.375,26.0,2,31.05,2.823,25.455,0.0,0.0,0.0,0,8.25,1.65,26.8,5,13.4,4.467,22.333,3,9.4,3.133,26.333,3,34.85,4.979,25.857,0.0,0.0,0.0,0,1.1,0.55,24.0,2,1.25,1.25,28.0,1,32.5,8.125,26.25,4,6,15,14,9,50,43,7,1.55,0,0,3,21,7,10,59,39,20,1.84,0,5,16,13,9,66,46,20,1.61,0
Serie A,US Palermo,2009,17.3,2.471,22.714,5.0,5.0,27.0,1,3.3,0.825,22.25,4,7.0,7.0,20.0,1,2.0,2.0,23.0,1,12.79,1.599,25.375,5.4,2.7,27.0,2,3.41,0.852,24.0,4,0.48,0.48,28.0,1,3.5,3.5,25.0,1,32.781,2.342,22.5,0.0,0.0,0.0,0,10.1,2.02,21.4,5,3.381,0.845,21.75,4,19.3,3.86,24.2,5,23.85,3.407,23.571,1.5,1.5,22.0,1,14.65,3.662,22.25,4,0.0,0.0,0.0,0,7.7,3.85,27.0,2,46.03,2.708,24.294,9.2,4.6,27.5,2,17.37,2.171,23.875,8,14.98,2.996,24.8,5,4.48,2.24,21.5,2,69.65,3.666,25.579,3.9,3.9,24.0,1,7.15,0.894,27.0,8,45.2,7.533,24.167,6,13.4,3.35,25.25,4,26.0,2.0,25.846,3.5,1.75,28.0,2,2.9,0.967,24.333,3,7.2,1.44,27.2,5,12.4,4.133,23.667,3,24.18,1.86,26.077,0.5,0.5,26.0,1,12.58,3.145,26.75,4,4.65,0.93,25.2,5,6.45,2.15,26.667,3,5,18,11,9,59,47,12,1.71,0,1,8,17,5,16,58,63,-5,1.47,2,16,11,10,17,52,62,-10,1.13,2
Serie A,ACF Fiorentina,2009,38.45,3.495,24.273,0.0,0.0,0.0,0,11.3,3.767,25.333,3,18.6,3.72,24.2,5,8.55,2.85,23.333,3,45.0,6.429,26.429,0.0,0.0,0.0,0,5.2,2.6,26.5,2,33.0,16.5,23.5,2,6.8,2.267,28.333,3,22.8,3.8,25.333,6.0,3.0,25.5,2,6.3,6.3,25.0,1,6.5,3.25,26.5,2,4.0,4.0,23.0,1,5.75,1.438,21.75,0.0,0.0,0.0,0,1.3,1.3,21.0,1,4.0,4.0,25.0,1,0.45,0.225,20.5,2,19.935,1.533,24.923,0.11,0.11,23.0,1,7.11,1.778,22.5,4,9.6,2.4,27.5,4,3.115,0.779,25.25,4,20.112,2.514,25.875,9.0,9.0,31.0,1,0.0,0.0,0.0,0,1.111,0.556,28.5,2,10.001,2.0,23.8,5,40.77,2.548,25.625,0.5,0.5,26.0,1,11.15,1.858,25.5,6,18.32,2.617,25.571,7,10.8,5.4,26.0,2,33.4,4.771,25.857,0.0,0.0,0.0,0,17.35,5.783,24.333,3,9.3,3.1,27.667,3,6.75,6.75,25.0,1,11,13,8,17,48,47,1,1.24,1,1,9,12,15,11,49,44,5,1.34,1,13,11,13,14,37,43,-6,1.21,0
Serie A,Catania SSD,2009,21.5,2.389,25.444,2.2,2.2,25.0,1,7.5,1.875,23.25,4,2.0,2.0,31.0,1,9.8,3.267,26.667,3,1.15,0.288,28.25,0.5,0.25,25.5,2,0.0,0.0,0.0,0,0.4,0.4,33.0,1,0.25,0.25,29.0,1,4.2,0.84,22.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.9,0.975,23.0,4,0.3,0.3,22.0,1,17.0,3.4,28.0,0.0,0.0,0.0,0,0.5,0.5,31.0,1,0.0,0.0,0.0,0,16.5,4.125,27.25,4,4.14,1.035,25.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.24,0.62,26.0,2,2.9,1.45,25.5,2,13.378,1.911,26.143,0.078,0.078,28.0,1,8.0,8.0,26.0,1,1.0,0.5,24.0,2,4.3,1.433,27.0,3,9.03,1.505,23.667,1.68,1.68,24.0,1,3.8,3.8,23.0,1,2.25,1.125,23.0,2,1.3,0.65,24.5,2,3.28,0.82,26.5,0.0,0.0,0.0,0,0.1,0.1,25.0,1,0.18,0.18,26.0,1,3.0,1.5,27.5,2,13,10,15,13,44,45,-1,1.18,1,1,13,12,10,16,40,52,-12,1.21,1,11,11,15,12,47,52,-5,1.26,1
Serie A,Chievo Verona,2009,1.9,0.475,28.5,0.6,0.6,30.0,1,0.8,0.8,27.0,1,0.5,0.25,28.5,2,0.0,0.0,0.0,0,3.9,1.3,28.333,0.0,0.0,0.0,0,0.2,0.2,30.0,1,3.7,1.85,27.5,2,0.0,0.0,0.0,0,6.85,0.685,24.4,0.0,0.0,0.0,0,2.3,0.767,26.333,3,0.8,0.267,24.333,3,3.75,0.938,23.0,4,0.1,0.1,26.0,0.0,0.0,0.0,0,0.1,0.1,26.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,11.45,1.041,24.182,0.4,0.4,30.0,1,3.8,1.267,22.0,3,6.7,1.34,24.4,5,0.55,0.275,24.0,2,13.09,1.454,24.0,0.0,0.0,0.0,0,4.19,1.048,23.0,4,7.2,3.6,24.5,2,1.7,0.567,25.0,3,10.3,2.575,21.75,0.0,0.0,0.0,0,2.5,2.5,22.0,1,0.8,0.8,21.0,1,7.0,3.5,22.0,2,12.632,2.105,25.0,2.0,2.0,33.0,1,4.0,4.0,24.0,1,3.912,1.956,25.0,2,2.72,1.36,21.5,2,14,12,8,18,37,42,-5,1.16,1,1,11,11,13,14,38,40,-2,1.21,1,10,12,13,13,35,45,-10,1.29,1
Serie A,Genoa CFC,2009,78.99,3.949,23.35,5.0,5.0,27.0,1,16.65,2.081,23.375,8,16.65,3.33,21.2,5,40.69,6.782,24.5,6,68.95,4.597,25.133,5.8,2.9,27.5,2,18.0,3.6,26.2,5,13.1,3.275,22.25,4,32.05,8.012,25.5,4,76.85,3.842,22.45,4.5,4.5,27.0,1,27.5,5.5,24.0,5,21.85,3.642,21.333,6,23.0,2.875,21.75,8,60.4,5.033,24.25,0.0,0.0,0.0,0,29.5,7.375,23.75,4,5.4,1.8,23.0,3,25.5,5.1,25.4,5,52.93,3.529,25.067,9.0,9.0,31.0,1,9.65,1.93,25.0,5,17.48,3.496,23.2,5,16.8,4.2,26.0,4,81.95,3.035,22.852,3.5,3.5,29.0,1,28.0,3.111,23.444,9,16.73,4.182,23.75,4,33.72,2.594,21.692,13,26.73,1.909,23.714,0.0,0.0,0.0,0,6.5,3.25,25.5,2,5.35,1.07,24.2,5,14.88,2.126,22.857,7,74.25,3.536,24.952,0.2,0.2,19.0,1,13.8,2.3,26.667,6,18.2,4.55,25.25,4,42.05,4.205,24.4,10,9,14,9,15,57,61,-4,1.34,1,1,10,14,9,15,45,47,-2,1.34,2,17,11,9,18,50,69,-19,1.11,2
Serie A,Juventus FC,2009,59.3,8.471,24.429,0.0,0.0,0.0,0,2.5,1.25,26.5,2,53.0,17.667,24.0,3,3.8,1.9,23.0,2,14.3,2.043,26.857,0.0,0.0,0.0,0,3.3,1.1,25.667,3,7.5,2.5,29.333,3,3.5,3.5,23.0,1,59.27,4.939,25.417,4.5,4.5,33.0,1,18.17,3.028,23.5,6,0.0,0.0,0.0,0,36.6,7.32,26.2,5,36.78,4.087,25.444,0.0,0.0,0.0,0,7.7,3.85,23.5,2,28.08,4.68,26.5,6,1.0,1.0,23.0,1,101.83,6.364,24.875,0.0,0.0,0.0,0,15.68,3.92,23.75,4,28.15,4.692,23.667,6,58.0,9.667,26.833,6,20.7,2.3,25.111,1.5,1.5,21.0,1,3.1,1.55,22.0,2,12.6,3.15,26.5,4,3.5,1.75,27.5,2,72.8,8.089,22.444,3.8,3.8,19.0,1,25.0,6.25,24.0,4,18.0,18.0,23.0,1,26.0,8.667,21.333,3,23.3,2.33,24.8,0.0,0.0,0.0,0,0.65,0.325,25.0,2,6.15,1.23,24.8,5,16.5,5.5,24.667,3,7,16,7,15,55,56,-1,1.45,1,1,7,15,13,10,57,47,10,1.53,0,1,23,15,0,68,20,48,2.21,0
