accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro,Modelo,dataset,duration,league,model
0.4816753926701571,0.4748640682003115,0.4887068916430998,0.4748640682003115,0.4767611871155474,0.7171468980727299,Ensemble,data_1,1year,all_leagues,Ensemble
0.5863874345549738,0.5817217265493128,0.604216073781291,0.5817217265493128,0.5891768632008091,0.7318650924738858,Ensemble,data_1,1year,all_leagues,Ensemble
0.5916230366492147,0.5822013235806339,0.61044266191325,0.5822013235806339,0.5908563649784783,0.7716426777796431,Ensemble,data_1,1year,all_leagues,Ensemble
0.6335078534031413,0.639747608713126,0.6394723711107893,0.639747608713126,0.639575001960323,0.8071105532540471,Ensemble,data_1,1year,all_leagues,Ensemble
0.5789473684210527,0.5758915414087827,0.5921690676252793,0.5758915414087827,0.5820886515512116,0.753448780578598,Ensemble,data_1,1year,all_leagues,Ensemble
0.5277777777777778,0.4652777777777778,0.4898989898989898,0.4652777777777778,0.4564870674710492,0.6943948412698413,Ensemble,data_1,1year,bundesliga,Ensemble
0.6388888888888888,0.5555555555555555,0.594017094017094,0.5555555555555555,0.5322522522522523,0.8045800264550266,Ensemble,data_1,1year,bundesliga,Ensemble
0.5833333333333334,0.5486111111111112,0.6277777777777778,0.5486111111111112,0.5648148148148149,0.7881944444444443,Ensemble,data_1,1year,bundesliga,Ensemble
0.5555555555555556,0.5069444444444445,0.5444444444444444,0.5069444444444445,0.5092592592592593,0.7400793650793651,Ensemble,data_1,1year,bundesliga,Ensemble
0.4722222222222222,0.4444444444444445,0.4405982905982906,0.4444444444444445,0.4420430107526882,0.6708498677248679,Ensemble,data_1,1year,bundesliga,Ensemble
0.5277777777777778,0.5497835497835498,0.525925925925926,0.5497835497835498,0.5273132664437012,0.6675324675324675,Ensemble,data_1,1year,la_liga,Ensemble
0.6111111111111112,0.6252525252525253,0.6653375863902179,0.6252525252525253,0.610042735042735,0.817079217079217,Ensemble,data_1,1year,la_liga,Ensemble
